instance family pattern-time pattern-vertices pattern-edges pattern-loops pattern-meandeg pattern-maxdeg pattern-degisfixed pattern-density target-time target-vertices target-edges target-loops target-meandeg target-maxdeg target-degisfixed target-density
F.17 1 0 270 5413 0 40.0963 259 0 0.149057 0 300 6481 0 43.2067 288 0 0.144504
C.04 1 1 900 2475 0 5.5 8 0 0.00611791 1 1000 3048 0 6.096 8 0 0.0061021
B.19 1 0 540 1483 0 5.49259 8 0 0.0101903 0 600 1811 0 6.03667 8 0 0.0100779
C.16 1 1 900 2463 0 5.47333 8 0 0.00608825 1 1000 3015 0 6.03 8 0 0.00603604
C.17 1 1 900 2427 0 5.39333 8 0 0.00599926 1 1000 2989 0 5.978 8 0 0.00598398
E.08 1 0 270 4996 2 37 191 0 0.137574 0 300 6394 0 42.6267 239 0 0.142564
F.13 1 0 270 5251 0 38.8963 209 0 0.144596 0 300 6643 0 44.2867 232 0 0.148116
A.20 1 0 180 485 0 5.38889 8 0 0.0301055 0 200 597 0 5.97 8 0 0.03
E.02 1 0 270 5089 3 37.6852 198 0 0.140135 0 300 6581 0 43.8733 243 0 0.146734
E.16 1 0 270 5288 3 39.1593 238 0 0.145615 0 300 6803 0 45.3533 293 0 0.151683
B.12 1 0 540 1454 0 5.38519 8 0 0.00999107 0 600 1800 0 6 8 0 0.0100167
F.09 1 0 270 5515 0 40.8519 269 0 0.151866 0 300 6758 0 45.0533 299 0 0.15068
A.10 1 0 180 493 0 5.47778 8 0 0.0306021 0 200 612 0 6.12 8 0 0.0307538
F.18 1 0 270 5963 0 44.1704 268 0 0.164202 0 300 7148 0 47.6533 298 0 0.159376
E.10 1 0 270 5525 0 40.9259 265 0 0.152141 0 300 6518 0 43.4533 295 0 0.145329
A.06 1 0 180 483 0 5.36667 8 0 0.0299814 0 200 604 0 6.04 8 0 0.0303518
E.15 1 0 270 5504 1 40.7667 186 0 0.151563 0 300 6657 0 44.38 236 0 0.148428
E.07 1 0 270 5388 2 39.9037 183 0 0.148368 0 300 6563 0 43.7533 222 0 0.146332
E.11 1 0 270 4843 1 35.8704 230 0 0.133361 0 300 6126 0 40.84 282 0 0.136589
B.03 1 0 540 1471 0 5.44815 8 0 0.0101079 0 600 1817 0 6.05667 8 0 0.0101113
B.18 1 0 540 1465 0 5.42593 8 0 0.0100667 0 600 1801 0 6.00333 8 0 0.0100223
C.03 1 1 900 2440 0 5.42222 8 0 0.00603139 1 1000 2991 0 5.982 8 0 0.00598799
A.18 1 0 180 493 0 5.47778 8 0 0.0306021 0 200 608 0 6.08 8 0 0.0305528
F.15 1 0 270 5192 0 38.4593 249 0 0.142971 0 300 6224 0 41.4933 274 0 0.138774
A.19 1 0 180 478 0 5.31111 8 0 0.029671 0 200 597 0 5.97 8 0 0.03
C.12 1 1 900 2435 0 5.41111 8 0 0.00601903 1 1000 2995 0 5.99 8 0 0.005996
B.05 1 0 540 1476 0 5.46667 8 0 0.0101422 0 600 1805 0 6.01667 8 0 0.0100445
A.13 1 0 180 484 0 5.37778 8 0 0.0300435 0 200 595 0 5.95 8 0 0.0298995
A.05 1 0 180 491 0 5.45556 8 0 0.030478 0 200 604 0 6.04 8 0 0.0303518
F.01 1 0 270 5184 0 38.4 262 0 0.142751 0 300 6179 0 41.1933 291 0 0.13777
E.20 1 0 270 5534 1 40.9889 183 0 0.152389 0 300 6596 0 43.9733 235 0 0.147068
B.13 1 0 540 1461 0 5.41111 8 0 0.0100392 0 600 1796 0 5.98667 8 0 0.00999444
A.14 1 0 180 497 0 5.52222 8 0 0.0308504 0 200 617 0 6.17 8 0 0.031005
B.04 1 0 540 1448 0 5.36296 8 0 0.00994984 0 600 1794 0 5.98 8 0 0.00998331
C.13 1 1 900 2464 0 5.47556 8 0 0.00609072 1 1000 3044 0 6.088 8 0 0.00609409
F.07 1 0 270 5257 0 38.9407 242 0 0.144761 0 300 6377 0 42.5133 267 0 0.142185
E.13 1 0 270 5808 4 43.0074 218 0 0.159934 0 300 7104 0 47.36 270 0 0.158395
E.14 1 0 270 5001 1 37.0407 192 0 0.137712 0 300 6524 0 43.4933 235 0 0.145463
A.11 1 0 180 489 0 5.43333 8 0 0.0303538 0 200 599 0 5.99 8 0 0.0301005
si6_r005_m400.07 7 0 240 2802 0 23.35 34 0 0.0976987 0 400 7781 0 38.905 54 0 0.0975063
si6_r005_m400.00 7 0 240 2776 0 23.1333 35 0 0.0967922 0 400 7762 0 38.81 59 0 0.0972682
si6_r005_m400.01 7 0 240 2812 0 23.4333 38 0 0.0980474 0 400 7792 0 38.96 60 0 0.0976441
si6_r005_m400.02 7 0 240 2850 0 23.75 36 0 0.0993724 0 400 7767 0 38.835 55 0 0.0973308
si6_r005_m400.04 7 0 240 2780 0 23.1667 40 0 0.0969317 0 400 7810 0 39.05 58 0 0.0978697
si6_r005_m400.05 7 0 240 2731 0 22.7583 36 0 0.0952232 0 400 7775 0 38.875 57 0 0.0974311
si6_r005_m400.09 7 0 240 2838 0 23.65 39 0 0.098954 0 400 7808 0 39.04 59 0 0.0978446
si6_r005_m400.03 7 0 240 2795 0 23.2917 38 0 0.0974547 0 400 7800 0 39 58 0 0.0977444
si6_r005_m400.06 7 0 240 2864 0 23.8667 37 0 0.0998605 0 400 7802 0 39.01 55 0 0.0977694
si6_r005_m400.08 7 0 240 2829 0 23.575 36 0 0.0986402 0 400 7794 0 38.97 58 0 0.0976692
si6_m4Dr6_m625.04 6 0 375 976 0 5.20533 11 0 0.013918 0 625 2074 0 6.6368 11 0 0.0106359
si6_m4Dr6_m625.01 6 0 375 1054 0 5.62133 11 0 0.0150303 0 625 2074 0 6.6368 11 0 0.0106359
si6_m4Dr6_m625.09 6 0 375 978 0 5.216 12 0 0.0139465 0 625 2074 0 6.6368 13 0 0.0106359
si6_m4Dr6_m625.07 6 0 375 996 0 5.312 13 0 0.0142032 0 625 2073 0 6.6336 13 0 0.0106308
si6_m4Dr6_m625.00 6 0 375 976 0 5.20533 12 0 0.013918 0 625 2073 0 6.6336 12 0 0.0106308
si6_m4Dr6_m625.08 6 0 375 893 0 4.76267 12 0 0.0127344 0 625 2074 0 6.6368 12 0 0.0106359
si6_m4Dr6_m625.05 6 0 375 998 0 5.32267 11 0 0.0142317 0 625 2073 0 6.6336 11 0 0.0106308
si6_m4Dr6_m625.06 6 0 375 1019 0 5.43467 14 0 0.0145312 0 625 2074 0 6.6368 14 0 0.0106359
si6_m4Dr6_m625.02 6 0 375 951 0 5.072 11 0 0.0135615 0 625 2073 0 6.6336 12 0 0.0106308
si6_m4Dr6_m625.03 6 0 375 1003 0 5.34933 13 0 0.014303 0 625 2073 0 6.6336 13 0 0.0106308
si4_m4Dr2_m625.09 6 0 250 506 0 4.048 10 0 0.016257 0 625 1824 0 5.8368 10 0 0.00935385
si4_m4Dr2_m625.04 6 0 250 508 0 4.064 9 0 0.0163213 0 625 1825 0 5.84 10 0 0.00935897
si4_m4Dr2_m625.02 6 0 250 553 0 4.424 9 0 0.0177671 0 625 1823 0 5.8336 10 0 0.00934872
si4_m4Dr2_m625.07 6 0 250 587 0 4.696 10 0 0.0188594 0 625 1825 0 5.84 10 0 0.00935897
si4_m4Dr2_m625.00 6 0 250 539 0 4.312 10 0 0.0173173 0 625 1825 0 5.84 10 0 0.00935897
si4_m4Dr2_m625.08 6 0 250 542 0 4.336 10 0 0.0174137 0 625 1825 0 5.84 10 0 0.00935897
si4_m4Dr2_m625.01 6 0 250 549 0 4.392 9 0 0.0176386 0 625 1825 0 5.84 9 0 0.00935897
si4_m4Dr2_m625.06 6 0 250 533 0 4.264 10 0 0.0171245 0 625 1825 0 5.84 10 0 0.00935897
si4_m4Dr2_m625.03 6 0 250 527 0 4.216 9 0 0.0169317 0 625 1825 0 5.84 11 0 0.00935897
si4_m4Dr2_m625.05 6 0 250 518 0 4.144 11 0 0.0166426 0 625 1824 0 5.8368 11 0 0.00935385
si2_r001_m600.00 7 0 120 220 0 3.66667 9 0 0.0308123 0 600 3626 0 12.0867 23 0 0.0201781
si2_r001_m600.06 7 0 120 185 0 3.08333 10 0 0.0259104 0 600 3626 0 12.0867 23 0 0.0201781
si2_r001_m600.04 7 0 120 223 0 3.71667 9 0 0.0312325 0 600 3640 0 12.1333 24 0 0.020256
si2_r001_m600.07 7 0 120 210 0 3.5 11 0 0.0294118 0 600 3618 0 12.06 21 0 0.0201336
si2_r001_m600.02 7 0 120 217 0 3.61667 9 0 0.0303922 0 600 3615 0 12.05 23 0 0.0201169
si2_r001_m600.08 7 0 120 199 0 3.31667 10 0 0.0278711 0 600 3617 0 12.0567 25 0 0.020128
si2_r001_m600.03 7 0 120 193 0 3.21667 8 0 0.0270308 0 600 3622 0 12.0733 24 0 0.0201558
si2_r001_m600.01 7 0 120 211 0 3.51667 10 0 0.0295518 0 600 3626 0 12.0867 22 0 0.0201781
si2_r001_m600.05 7 0 120 217 0 3.61667 9 0 0.0303922 0 600 3621 0 12.07 25 0 0.0201503
si2_r001_m600.09 7 0 120 213 0 3.55 8 0 0.0298319 0 600 3627 0 12.09 22 0 0.0201836
si2_m4Dr2_m256.09 6 0 51 96 0 3.76471 7 0 0.0752941 0 256 723 0 5.64844 10 0 0.0221507
si2_m4Dr2_m256.03 6 0 51 84 0 3.29412 7 0 0.0658824 0 256 722 0 5.64062 9 0 0.0221201
si2_m4Dr2_m256.04 6 0 51 100 0 3.92157 6 0 0.0784314 0 256 723 0 5.64844 9 0 0.0221507
si2_m4Dr2_m256.07 6 0 51 83 0 3.2549 9 0 0.065098 0 256 722 0 5.64062 9 0 0.0221201
si2_m4Dr2_m256.00 6 0 51 91 0 3.56863 8 0 0.0713725 0 256 723 0 5.64844 10 0 0.0221507
si2_m4Dr2_m256.06 6 0 51 84 0 3.29412 7 0 0.0658824 0 256 723 0 5.64844 9 0 0.0221507
si2_m4Dr2_m256.08 6 0 51 88 0 3.45098 10 0 0.0690196 0 256 723 0 5.64844 11 0 0.0221507
si2_m4Dr2_m256.05 6 0 51 100 0 3.92157 9 0 0.0784314 0 256 723 0 5.64844 9 0 0.0221507
si2_m4Dr2_m256.01 6 0 51 86 0 3.37255 8 0 0.067451 0 256 722 0 5.64062 10 0 0.0221201
si2_m4Dr2_m256.02 6 0 51 93 0 3.64706 8 0 0.0729412 0 256 723 0 5.64844 9 0 0.0221507
si6_r001_m600.09 7 0 360 1300 0 7.22222 17 0 0.0201176 0 600 3625 0 12.0833 25 0 0.0201725
si6_r001_m600.00 7 0 360 1298 0 7.21111 15 0 0.0200867 0 600 3625 0 12.0833 25 0 0.0201725
si6_r001_m600.07 7 0 360 1329 0 7.38333 16 0 0.0205664 0 600 3629 0 12.0967 24 0 0.0201948
si6_r001_m600.03 7 0 360 1335 0 7.41667 15 0 0.0206592 0 600 3614 0 12.0467 25 0 0.0201113
si6_r001_m600.01 7 0 360 1329 0 7.38333 16 0 0.0205664 0 600 3619 0 12.0633 25 0 0.0201391
si6_r001_m600.06 7 0 360 1334 0 7.41111 19 0 0.0206438 0 600 3609 0 12.03 25 0 0.0200835
si6_r001_m600.08 7 0 360 1326 0 7.36667 18 0 0.02052 0 600 3630 0 12.1 25 0 0.0202003
si6_r001_m600.02 7 0 360 1331 0 7.39444 15 0 0.0205973 0 600 3632 0 12.1067 23 0 0.0202115
si6_r001_m600.04 7 0 360 1313 0 7.29444 14 0 0.0203188 0 600 3623 0 12.0767 22 0 0.0201614
si6_r001_m600.05 7 0 360 1349 0 7.49444 16 0 0.0208759 0 600 3630 0 12.1 23 0 0.0202003
si2_m4Dr2_m1296.05 6 0 259 506 0 3.90734 9 0 0.0151447 2 1296 3859 0 5.95525 10 0 0.00459865
si2_m4Dr2_m1296.09 6 0 259 485 0 3.74517 10 0 0.0145162 2 1296 3859 0 5.95525 11 0 0.00459865
si2_m4Dr2_m1296.02 6 0 259 442 0 3.41313 9 0 0.0132292 2 1296 3859 0 5.95525 10 0 0.00459865
si2_m4Dr2_m1296.07 6 0 259 502 0 3.87645 10 0 0.015025 2 1296 3858 0 5.9537 11 0 0.00459745
si2_m4Dr2_m1296.00 6 0 259 516 0 3.98456 10 0 0.015444 2 1296 3859 0 5.95525 10 0 0.00459865
si2_m4Dr2_m1296.06 6 0 259 459 0 3.5444 8 0 0.013738 2 1296 3859 0 5.95525 12 0 0.00459865
si2_m4Dr2_m1296.08 6 0 259 452 0 3.49035 10 0 0.0135285 2 1296 3859 0 5.95525 10 0 0.00459865
si2_m4Dr2_m1296.01 6 0 259 477 0 3.6834 8 0 0.0142767 2 1296 3857 0 5.95216 10 0 0.00459626
si2_m4Dr2_m1296.03 6 0 259 483 0 3.72973 9 0 0.0144563 2 1296 3859 0 5.95525 10 0 0.00459865
si2_m4Dr2_m1296.04 6 0 259 526 0 4.06178 10 0 0.0157433 2 1296 3859 0 5.95525 10 0 0.00459865
si4_b06m_m800.08 4 0 320 696 0 4.35 21 0 0.0136364 0 800 2398 0 5.995 22 0 0.00750313
si4_b06m_m800.00 4 0 320 720 0 4.5 28 0 0.0141066 0 800 2400 0 6 28 0 0.00750939
si4_b06m_m800.06 4 0 320 734 0 4.5875 19 0 0.0143809 0 800 2398 0 5.995 26 0 0.00750313
si4_b06m_m800.05 4 0 320 738 0 4.6125 19 0 0.0144592 0 800 2398 0 5.995 21 0 0.00750313
si4_b06m_m800.04 4 0 320 724 0 4.525 24 0 0.014185 0 800 2400 0 6 24 0 0.00750939
si4_b06m_m800.09 4 0 320 710 0 4.4375 24 0 0.0139107 0 800 2399 0 5.9975 24 0 0.00750626
si4_b06m_m800.01 4 0 320 721 0 4.50625 20 0 0.0141262 0 800 2398 0 5.995 21 0 0.00750313
si4_b06m_m800.07 4 0 320 691 0 4.31875 22 0 0.0135384 0 800 2397 0 5.9925 23 0 0.0075
si4_b06m_m800.03 4 0 320 669 0 4.18125 24 0 0.0131074 0 800 2399 0 5.9975 24 0 0.00750626
si4_b06m_m800.02 4 0 320 714 0 4.4625 24 0 0.013989 0 800 2400 0 6 30 0 0.00750939
si6_m4Dr2_m625.08 6 0 375 894 0 4.768 10 0 0.0127487 0 625 1824 0 5.8368 10 0 0.00935385
si6_m4Dr2_m625.09 6 0 375 847 0 4.51733 10 0 0.0120784 0 625 1825 0 5.84 10 0 0.00935897
si6_m4Dr2_m625.05 6 0 375 856 0 4.56533 9 0 0.0122068 0 625 1824 0 5.8368 9 0 0.00935385
si6_m4Dr2_m625.01 6 0 375 1000 0 5.33333 12 0 0.0142602 0 625 1824 0 5.8368 12 0 0.00935385
si6_m4Dr2_m625.06 6 0 375 924 0 4.928 11 0 0.0131765 0 625 1825 0 5.84 11 0 0.00935897
si6_m4Dr2_m625.00 6 0 375 853 0 4.54933 11 0 0.012164 0 625 1825 0 5.84 11 0 0.00935897
si6_m4Dr2_m625.03 6 0 375 930 0 4.96 10 0 0.013262 0 625 1825 0 5.84 10 0 0.00935897
si6_m4Dr2_m625.02 6 0 375 881 0 4.69867 9 0 0.0125633 0 625 1824 0 5.8368 10 0 0.00935385
si6_m4Dr2_m625.07 6 0 375 915 0 4.88 10 0 0.0130481 0 625 1823 0 5.8336 10 0 0.00934872
si6_m4Dr2_m625.04 6 0 375 906 0 4.832 9 0 0.0129198 0 625 1825 0 5.84 10 0 0.00935897
si2_m4D_m1296.01 5 0 259 544 0 4.20077 6 0 0.0162821 2 1296 3600 0 5.55556 8 0 0.00429
si2_m4D_m1296.08 5 0 259 664 0 5.12741 8 0 0.0198737 2 1296 3600 0 5.55556 8 0 0.00429
si2_m4D_m1296.06 5 0 259 540 0 4.16988 6 0 0.0161623 2 1296 3600 0 5.55556 8 0 0.00429
si2_m4D_m1296.05 5 0 259 694 0 5.35907 8 0 0.0207716 2 1296 3600 0 5.55556 8 0 0.00429
si2_m4D_m1296.09 5 0 259 672 0 5.18919 8 0 0.0201131 2 1296 3600 0 5.55556 8 0 0.00429
si2_m4D_m1296.03 5 0 259 540 0 4.16988 6 0 0.0161623 2 1296 3600 0 5.55556 8 0 0.00429
si2_m4D_m1296.07 5 0 259 648 0 5.00386 8 0 0.0193948 2 1296 3600 0 5.55556 8 0 0.00429
si2_m4D_m1296.02 5 0 259 671 0 5.18147 8 0 0.0200832 2 1296 3600 0 5.55556 8 0 0.00429
si2_m4D_m1296.04 5 0 259 674 0 5.20463 8 0 0.020173 2 1296 3600 0 5.55556 8 0 0.00429
si2_m4D_m1296.00 5 0 259 687 0 5.30502 8 0 0.0205621 2 1296 3600 0 5.55556 8 0 0.00429
si4_b03_m800.05 3 0 320 477 0 2.98125 3 0 0.00934561 0 800 1200 0 3 3 1 0.00375469
si4_b03_m800.00 3 0 320 477 0 2.98125 3 0 0.00934561 0 800 1200 0 3 3 1 0.00375469
si4_b03_m800.08 3 0 320 477 0 2.98125 3 0 0.00934561 0 800 1200 0 3 3 1 0.00375469
si4_b03_m800.09 3 0 320 477 0 2.98125 3 0 0.00934561 0 800 1200 0 3 3 1 0.00375469
si4_b03_m800.03 3 0 320 477 0 2.98125 3 0 0.00934561 0 800 1200 0 3 3 1 0.00375469
si4_b03_m800.02 3 0 320 477 0 2.98125 3 0 0.00934561 0 800 1200 0 3 3 1 0.00375469
si4_b03_m800.04 3 0 320 477 0 2.98125 3 0 0.00934561 0 800 1200 0 3 3 1 0.00375469
si4_b03_m800.01 3 0 320 477 0 2.98125 3 0 0.00934561 0 800 1200 0 3 3 1 0.00375469
si4_b03_m800.06 3 0 320 477 0 2.98125 3 0 0.00934561 0 800 1200 0 3 3 1 0.00375469
si4_b03_m800.07 3 0 320 477 0 2.98125 3 0 0.00934561 0 800 1200 0 3 3 1 0.00375469
si6_m4D_m1296.02 5 0 777 2050 0 5.27671 8 0 0.00679988 2 1296 3600 0 5.55556 8 0 0.00429
si6_m4D_m1296.07 5 0 777 1425 0 3.66795 8 0 0.00472674 2 1296 3600 0 5.55556 8 0 0.00429
si6_m4D_m1296.05 5 0 777 2058 0 5.2973 8 0 0.00682641 2 1296 3600 0 5.55556 8 0 0.00429
si6_m4D_m1296.09 5 0 777 1477 0 3.8018 8 0 0.00489923 2 1296 3600 0 5.55556 8 0 0.00429
si6_m4D_m1296.00 5 0 777 1508 0 3.8816 8 0 0.00500206 2 1296 3600 0 5.55556 8 0 0.00429
si6_m4D_m1296.08 5 0 777 2048 0 5.27156 8 0 0.00679324 2 1296 3600 0 5.55556 8 0 0.00429
si6_m4D_m1296.04 5 0 777 2024 0 5.20978 8 0 0.00671364 2 1296 3600 0 5.55556 8 0 0.00429
si6_m4D_m1296.06 5 0 777 1359 0 3.49807 8 0 0.00450782 2 1296 3600 0 5.55556 8 0 0.00429
si6_m4D_m1296.01 5 0 777 1464 0 3.76834 8 0 0.00485611 2 1296 3600 0 5.55556 8 0 0.00429
si6_m4D_m1296.03 5 0 777 1424 0 3.66538 8 0 0.00472343 2 1296 3600 0 5.55556 8 0 0.00429
si6_r001_m200.05 7 0 120 188 0 3.13333 8 0 0.0263305 0 200 451 0 4.51 13 0 0.0226633
si6_r001_m200.09 7 0 120 191 0 3.18333 7 0 0.0267507 0 200 448 0 4.48 11 0 0.0225126
si6_r001_m200.07 7 0 120 212 0 3.53333 12 0 0.0296919 0 200 442 0 4.42 12 0 0.0222111
si6_r001_m200.02 7 0 120 206 0 3.43333 7 0 0.0288515 0 200 447 0 4.47 11 0 0.0224623
si6_r001_m200.01 7 0 120 199 0 3.31667 9 0 0.0278711 0 200 444 0 4.44 12 0 0.0223116
si6_r001_m200.00 7 0 120 212 0 3.53333 10 0 0.0296919 0 200 440 0 4.4 12 0 0.0221106
si6_r001_m200.04 7 0 120 199 0 3.31667 7 0 0.0278711 0 200 438 0 4.38 10 0 0.0220101
si6_r001_m200.06 7 0 120 211 0 3.51667 9 0 0.0295518 0 200 450 0 4.5 14 0 0.0226131
si6_r001_m200.08 7 0 120 199 0 3.31667 10 0 0.0278711 0 200 440 0 4.4 11 0 0.0221106
si6_r001_m200.03 7 0 120 193 0 3.21667 9 0 0.0270308 0 200 445 0 4.45 10 0 0.0223618
si4_b06_m400.06 3 0 160 474 0 5.925 6 0 0.0372642 0 400 1200 0 6 6 1 0.0150376
si4_b06_m400.07 3 0 160 474 0 5.925 6 0 0.0372642 0 400 1200 0 6 6 1 0.0150376
si4_b06_m400.09 3 0 160 474 0 5.925 6 0 0.0372642 0 400 1200 0 6 6 1 0.0150376
si4_b06_m400.01 3 0 160 474 0 5.925 6 0 0.0372642 0 400 1200 0 6 6 1 0.0150376
si4_b06_m400.04 3 0 160 474 0 5.925 6 0 0.0372642 0 400 1200 0 6 6 1 0.0150376
si4_b06_m400.03 3 0 160 474 0 5.925 6 0 0.0372642 0 400 1200 0 6 6 1 0.0150376
si4_b06_m400.00 3 0 160 474 0 5.925 6 0 0.0372642 0 400 1200 0 6 6 1 0.0150376
si4_b06_m400.05 3 0 160 474 0 5.925 6 0 0.0372642 0 400 1200 0 6 6 1 0.0150376
si4_b06_m400.08 3 0 160 474 0 5.925 6 0 0.0372642 0 400 1200 0 6 6 1 0.0150376
si4_b06_m400.02 3 0 160 474 0 5.925 6 0 0.0372642 0 400 1200 0 6 6 1 0.0150376
si2_m4Dr6_m256.06 6 0 51 86 0 3.37255 9 0 0.067451 0 256 823 0 6.42969 12 0 0.0252145
