instance family pattern-time pattern-isconnected pattern-meandistance pattern-maxdistance pattern-proportiondistancege2 pattern-proportiondistancege3 pattern-proportiondistancege4 target-time target-isconnected target-meandistance target-maxdistance target-proportiondistancege2 target-proportiondistancege3 target-proportiondistancege4
F.02 1 23 1 1.84117 2 0.838052 0 0 30 1 1.84524 2 0.842422 0 0
F.11 1 21 1 1.83541 3 0.832291 2.74348e-05 0 31 1 1.8476 3 0.844756 2.22222e-05 0
F.12 1 22 1 1.84122 3 0.837668 0.000438957 0 30 1 1.84932 3 0.846067 0.000422222 0
E.05 1 21 1 1.86154 3 0.857311 0.00104252 0 30 1 1.84774 2 0.844911 0 0
B.16 1 25 1 3.98981 6 0.988093 0.94216 0.755405 35 1 3.82628 6 0.988272 0.937 0.710644
A.08 1 2 1 3.2712 6 0.964136 0.832778 0.429259 3 1 3.18171 5 0.96515 0.8246 0.37145
C.14 1 90 1 4.3164 7 0.992857 0.964946 0.844931 124 1 4.13383 6 0.992956 0.96186 0.81494
F.16 1 23 1 1.83753 2 0.834431 0 0 30 1 1.84401 2 0.8412 0 0
F.06 1 21 1 1.85942 3 0.855089 0.00115226 0 30 1 1.85458 3 0.851378 0.000355556 0
A.03 1 2 1 3.21986 5 0.963395 0.825062 0.396358 3 1 3.15266 5 0.96455 0.81745 0.3515
E.19 1 21 1 1.85951 3 0.855857 0.000466392 0 29 1 1.86446 2 0.861578 0 0
C.15 1 90 1 4.32383 7 0.992879 0.965121 0.845783 122 1 4.15512 6 0.993012 0.962484 0.819318
A.16 1 2 1 3.28957 5 0.964444 0.835802 0.438951 3 1 3.14744 5 0.9645 0.8174 0.3484
B.14 1 25 1 3.9832 7 0.988093 0.941893 0.752606 35 1 3.82239 6 0.988278 0.937028 0.710017
A.02 1 2 1 3.27083 5 0.964136 0.833333 0.428395 3 1 3.17457 5 0.96495 0.82225 0.36615
F.14 1 22 1 1.8521 3 0.848395 0.000548697 0 30 1 1.85779 3 0.854511 0.000422222 0
F.05 1 22 1 1.84844 3 0.84513 0.000164609 0 30 1 1.85342 3 0.850489 8.88889e-05 0
B.09 1 25 1 4.019 7 0.988217 0.943224 0.76216 34 1 3.83227 6 0.988306 0.937506 0.713483
A.01 1 2 1 3.25357 5 0.963765 0.829383 0.415988 3 1 3.14462 5 0.9644 0.81675 0.34545
C.05 1 91 1 4.30318 7 0.992817 0.964491 0.842306 123 1 4.15303 6 0.993 0.962334 0.818826
B.01 1 26 1 3.99975 6 0.988155 0.942346 0.757353 34 1 3.84228 6 0.988356 0.938017 0.71755
A.09 1 2 1 3.29013 6 0.96463 0.836049 0.43821 3 1 3.18005 5 0.9652 0.82375 0.3691
A.07 1 2 1 3.25798 6 0.964321 0.831667 0.420062 3 1 3.17884 5 0.9654 0.82445 0.3692
F.03 1 22 1 1.84904 3 0.845679 0.000219479 0 30 1 1.85773 3 0.854644 0.000222222 0
E.12 1 22 1 1.85009 3 0.846036 0.00090535 0 30 1 1.84638 3 0.843533 2.22222e-05 0
C.06 1 89 1 4.3203 7 0.992879 0.965133 0.845973 123 1 4.14446 6 0.992992 0.962222 0.817426
C.09 1 93 1 4.31141 7 0.992852 0.964881 0.843741 122 1 4.1602 6 0.99303 0.962682 0.820344
B.17 1 25 1 4.00545 7 0.988162 0.942915 0.759897 35 1 3.82366 6 0.988272 0.937111 0.711339
C.07 1 91 1 4.29758 7 0.992798 0.96443 0.841578 125 1 4.11726 6 0.992914 0.961288 0.81093
E.09 1 23 1 1.84789 3 0.844472 0.000274348 0 29 1 1.84943 3 0.846489 0.000111111 0
E.17 1 22 1 1.86344 3 0.859424 0.000823045 0 30 1 1.85465 3 0.851756 4.44444e-05 0
C.11 1 91 1 4.30633 7 0.992815 0.964612 0.842968 121 1 4.14026 6 0.992958 0.961964 0.81625
F.10 1 22 1 1.83844 3 0.835226 0.000109739 0 30 1 1.84537 2 0.842556 0 0
A.17 1 2 1 3.2851 6 0.964321 0.833889 0.433889 3 1 3.16638 5 0.9649 0.82075 0.3602
B.15 1 26 1 3.97201 6 0.988032 0.941365 0.750405 35 1 3.82319 6 0.988261 0.937039 0.710833
E.03 1 21 1 1.85987 3 0.854348 0.00233196 0 29 1 1.86308 3 0.858733 0.00146667 0
F.19 1 22 1 1.85155 2 0.848395 0 0 30 1 1.85652 2 0.853667 0 0
A.12 1 2 1 3.28299 6 0.964383 0.83321 0.431975 3 1 3.17583 5 0.965 0.822 0.36655
B.08 1 25 1 4.00175 6 0.988141 0.942579 0.758052 34 1 3.84997 6 0.988383 0.938544 0.72
F.17 1 23 1 1.85111 3 0.847791 0.000164609 0 30 1 1.85563 3 0.852644 0.000133333 0
C.04 1 91 1 4.28118 7 0.992778 0.964027 0.838617 123 1 4.10957 6 0.992904 0.961154 0.809514
B.19 1 26 1 3.95378 6 0.987977 0.940617 0.745933 34 1 3.81868 6 0.988272 0.93695 0.709644
C.16 1 92 1 4.29953 7 0.992807 0.96443 0.841704 123 1 4.14117 6 0.99297 0.962036 0.816296
C.17 1 90 1 4.34264 7 0.992896 0.96543 0.848533 122 1 4.16729 6 0.993022 0.9627 0.821508
E.08 1 20 1 1.86592 3 0.859287 0.00342936 0 30 1 1.85799 3 0.854578 0.000555556 0
F.13 1 21 1 1.85667 3 0.852236 0.001262 0 30 1 1.85217 3 0.849044 0.000288889 0
A.20 1 2 1 3.28386 6 0.964506 0.835309 0.437037 3 1 3.17608 5 0.96515 0.82355 0.36725
E.02 1 22 1 1.86262 3 0.856763 0.00266118 0 30 1 1.8536 3 0.850422 0.000333333 0
E.16 1 21 1 1.85463 3 0.851303 0.000164609 0 30 1 1.84832 2 0.845489 0 0
B.12 1 24 1 3.99873 7 0.988176 0.942922 0.758649 35 1 3.82915 6 0.988333 0.937728 0.713506
F.09 1 22 1 1.84813 2 0.844993 0 0 30 1 1.84932 2 0.846489 0 0
A.10 1 2 1 3.245 5 0.964012 0.828951 0.41216 3 1 3.12663 5 0.9644 0.8144 0.3325
F.18 1 22 1 1.8358 2 0.832702 0 0 31 1 1.84062 2 0.837822 0 0
E.10 1 22 1 1.84786 2 0.844719 0 0 30 1 1.85467 2 0.851822 0 0
A.06 1 2 1 3.29212 6 0.96463 0.835802 0.438333 3 1 3.16141 5 0.9648 0.8193 0.3568
E.15 1 22 1 1.85086 3 0.845322 0.00238683 0 30 1 1.85188 3 0.848733 0.000311111 0
E.07 1 22 1 1.8554 3 0.848532 0.0037037 0 30 1 1.85641 3 0.850822 0.00273333 0
E.11 1 21 1 1.87333 3 0.863457 0.00663923 0 29 1 1.86439 3 0.860533 0.000977778 0
B.03 1 25 1 3.97607 7 0.988059 0.941639 0.752215 35 1 3.81531 6 0.988239 0.936767 0.708667
B.18 1 26 1 3.9775 6 0.9881 0.941824 0.751982 34 1 3.83266 6 0.988328 0.937761 0.714433
C.03 1 89 1 4.32655 7 0.992864 0.965128 0.846183 121 1 4.15916 6 0.993018 0.96264 0.820438
A.18 1 2 1 3.26921 6 0.964012 0.831481 0.427593 3 1 3.1695 5 0.9646 0.8194 0.3649
F.15 1 22 1 1.85744 3 0.853855 0.000411523 0 29 1 1.86165 3 0.858356 0.000422222 0
A.19 1 2 1 3.31248 5 0.964938 0.839506 0.453272 3 1 3.18698 5 0.96515 0.82395 0.37565
C.12 1 91 1 4.31991 7 0.992877 0.965047 0.84496 122 1 4.15665 6 0.99301 0.962518 0.819532
B.05 1 25 1 3.97551 6 0.988025 0.941543 0.752627 34 1 3.84205 6 0.988306 0.937894 0.717311
A.13 1 2 1 3.28405 5 0.964568 0.836111 0.434877 3 1 3.16879 5 0.96525 0.8241 0.36025
A.05 1 2 1 3.24438 6 0.964136 0.829938 0.412222 3 1 3.14693 5 0.9648 0.8177 0.3467
F.01 1 21 1 1.85747 3 0.854074 0.000219479 0 30 1 1.86239 3 0.859356 0.000155556 0
E.20 1 22 1 1.84921 3 0.844499 0.00156379 0 30 1 1.85389 3 0.850089 0.000955556 0
B.13 1 26 1 4.00245 7 0.988128 0.942503 0.75823 35 1 3.84549 6 0.988356 0.938228 0.718244
A.14 1 2 1 3.21924 5 0.963765 0.826728 0.396235 3 1 3.11533 5 0.96415 0.81115 0.3251
B.04 1 25 1 4.01063 6 0.988217 0.94356 0.762016 34 1 3.84269 6 0.988367 0.938411 0.718122
C.13 1 90 1 4.29338 7 0.992805 0.964501 0.841652 123 1 4.11566 6 0.992912 0.961338 0.81107
F.07 1 22 1 1.85538 3 0.852071 0.000137174 0 29 1 1.85793 3 0.854956 0.000111111 0
E.13 1 22 1 1.84117 3 0.837064 0.000987654 0 30 1 1.84178 3 0.8388 0.000177778 0
E.14 1 22 1 1.86854 3 0.859122 0.00620027 0 30 1 1.85592 3 0.851689 0.00137778 0
A.11 1 2 1 3.26561 6 0.964259 0.831481 0.423025 3 1 3.16764 5 0.96505 0.8215 0.3616
si6_r005_m400.07 7 14 1 1.99369 3 0.898542 0.0910069 0 57 1 1.92214 3 0.900238 0.0196 0
si6_r005_m400.00 7 14 1 2.00003 3 0.899444 0.0964236 0 58 1 1.92316 3 0.900475 0.020375 0
si6_r005_m400.01 7 14 1 1.99191 3 0.898194 0.0895833 0 57 1 1.92266 3 0.9001 0.02025 0
si6_r005_m400.02 7 14 1 1.98441 3 0.896875 0.0834375 0 58 1 1.92312 3 0.900412 0.0204 0
si6_r005_m400.04 7 14 1 1.99275 3 0.899306 0.0893056 0 58 1 1.92081 3 0.899875 0.0186375 0
si6_r005_m400.05 7 14 1 2.00523 3 0.901007 0.100035 0 59 1 1.9211 3 0.900312 0.0184875 0
si6_r005_m400.09 7 14 1 1.98832 3 0.897292 0.0869097 0 57 1 1.92402 3 0.8999 0.0218125 0
si6_r005_m400.03 7 14 1 1.99603 3 0.898785 0.0930903 0 58 1 1.92153 3 0.9 0.019225 0
si6_r005_m400.06 7 14 1 1.98452 3 0.896389 0.0840278 0 57 1 1.92221 3 0.899975 0.019925 0
si6_r005_m400.08 7 14 1 1.99285 3 0.897604 0.0911111 0 58 1 1.92236 3 0.900075 0.019975 0
si6_m4Dr6_m625.04 6 10 1 4.23177 8 0.983452 0.93002 0.767289 44 1 4.12366 7 0.987781 0.941716 0.773033
si6_m4Dr6_m625.01 6 11 1 4.06911 7 0.982343 0.921643 0.731634 44 1 4.11757 8 0.987781 0.941629 0.77206
si6_m4Dr6_m625.09 6 10 1 4.18289 8 0.983424 0.929436 0.75968 43 1 4.12201 7 0.987781 0.941793 0.772598
si6_m4Dr6_m625.07 6 10 1 4.19491 8 0.983168 0.927076 0.755513 43 1 4.10913 7 0.987786 0.941686 0.772214
si6_m4Dr6_m625.00 6 10 1 4.24027 8 0.983452 0.930304 0.769436 42 1 4.11534 7 0.987786 0.941998 0.774548
si6_m4Dr6_m625.08 6 10 1 4.34654 8 0.984633 0.937017 0.796985 44 1 4.11609 7 0.987781 0.941588 0.771743
si6_m4Dr6_m625.05 6 11 1 4.13363 7 0.98314 0.926478 0.749383 43 1 4.10004 7 0.987786 0.941706 0.771615
si6_m4Dr6_m625.06 6 11 1 4.08757 8 0.982841 0.923719 0.735744 44 1 4.12208 7 0.987781 0.941537 0.771
si6_m4Dr6_m625.02 6 10 1 4.27574 8 0.983808 0.932352 0.775666 44 1 4.11381 7 0.987786 0.941793 0.772864
si6_m4Dr6_m625.03 6 11 1 4.10486 7 0.983068 0.925881 0.744718 43 1 4.11026 7 0.987786 0.94187 0.772731
si4_m4Dr2_m625.09 6 3 1 5.12575 10 0.979808 0.933056 0.837344 38 1 5.1098 10 0.989061 0.958423 0.878638
si4_m4Dr2_m625.04 6 3 1 5.00665 9 0.979744 0.932224 0.830144 38 1 5.0356 10 0.989056 0.958039 0.874665
si4_m4Dr2_m625.02 6 3 1 4.79595 8 0.978304 0.922848 0.802208 38 1 5.0899 10 0.989066 0.958413 0.878203
si4_m4Dr2_m625.07 6 4 1 4.70349 9 0.977216 0.91648 0.783424 38 1 5.06419 9 0.989056 0.958351 0.878121
si4_m4Dr2_m625.00 6 3 1 4.9332 8 0.978752 0.924576 0.81376 39 1 5.08967 11 0.989056 0.958141 0.876815
si4_m4Dr2_m625.08 6 3 1 4.92492 10 0.978656 0.925728 0.813792 39 1 5.08408 10 0.989056 0.958392 0.877865
si4_m4Dr2_m625.01 6 3 1 4.92206 9 0.978432 0.924 0.807808 39 1 5.05694 10 0.989056 0.958147 0.876349
si4_m4Dr2_m625.06 6 3 1 4.8063 8 0.978944 0.924064 0.809664 39 1 5.03439 10 0.989056 0.958019 0.875172
si4_m4Dr2_m625.03 6 3 1 5.01754 9 0.979136 0.931328 0.832768 39 1 5.06416 10 0.989056 0.958147 0.876375
si4_m4Dr2_m625.05 6 3 1 4.94146 9 0.979424 0.930784 0.82832 37 1 5.08889 10 0.989061 0.958116 0.875628
si2_r001_m600.00 7 0 1 3.81555 8 0.961111 0.865278 0.624722 83 1 2.82193 4 0.978189 0.766978 0.0737278
si2_r001_m600.06 7 0 1 4.27983 10 0.965972 0.892222 0.715139 81 1 2.82033 5 0.978189 0.766711 0.0723889
si2_r001_m600.04 7 0 1 3.73235 8 0.960694 0.857361 0.59375 81 1 2.81774 4 0.978111 0.766094 0.0705
si2_r001_m600.07 7 0 1 3.88431 8 0.9625 0.868194 0.636389 80 1 2.82592 5 0.978233 0.769167 0.0754611
si2_r001_m600.02 7 0 1 3.80322 7 0.961528 0.863056 0.614306 81 1 2.82497 5 0.97825 0.767289 0.0763889
si2_r001_m600.08 7 0 1 4.02885 8 0.964028 0.880139 0.675833 81 1 2.82604 5 0.978239 0.767256 0.0774778
si2_r001_m600.03 7 0 1 4.15182 9 0.964861 0.884861 0.693472 80 1 2.82578 5 0.978211 0.766506 0.0780111
si2_r001_m600.01 7 0 1 3.8923 8 0.962361 0.870833 0.642361 80 1 2.82179 5 0.978189 0.765528 0.0750111
si2_r001_m600.05 7 0 1 3.78964 9 0.961528 0.862361 0.612361 81 1 2.82364 5 0.978217 0.766572 0.0758111
si2_r001_m600.09 7 0 1 3.90602 8 0.962083 0.871111 0.6525 80 1 2.81903 4 0.978183 0.766828 0.0709833
si2_m4Dr2_m256.09 6 0 1 3.68314 8 0.906574 0.74356 0.519031 5 1 4.30006 9 0.97403 0.905579 0.744995
si2_m4Dr2_m256.03 6 0 1 3.91373 7 0.915802 0.76509 0.578239 5 1 4.35876 9 0.97406 0.905975 0.749451
si2_m4Dr2_m256.04 6 0 1 3.38275 7 0.903499 0.722799 0.457516 5 1 4.28199 8 0.97403 0.905273 0.741302
si2_m4Dr2_m256.07 6 0 1 3.42118 6 0.916571 0.742022 0.482122 5 1 4.2326 9 0.97406 0.905304 0.738953
si2_m4Dr2_m256.00 6 0 1 3.61098 7 0.910419 0.739715 0.51288 5 1 4.2996 8 0.97403 0.905243 0.743103
si2_m4Dr2_m256.06 6 0 1 3.8102 7 0.915802 0.768935 0.565167 5 1 4.29485 8 0.97403 0.905273 0.742279
si2_m4Dr2_m256.08 6 0 1 3.30824 6 0.912726 0.713572 0.442907 5 1 4.27653 8 0.97403 0.90451 0.738556
si2_m4Dr2_m256.05 6 0 1 3.12627 6 0.903499 0.682045 0.376778 5 1 4.31336 9 0.97403 0.904572 0.737244
si2_m4Dr2_m256.01 6 0 1 3.64078 7 0.914264 0.752018 0.528258 5 1 4.28869 8 0.97406 0.905426 0.742798
si2_m4Dr2_m256.02 6 0 1 3.24784 6 0.908881 0.712034 0.430604 5 1 4.25218 8 0.97403 0.90509 0.740845
si6_r001_m600.09 7 13 1 3.18466 6 0.97716 0.844985 0.343981 79 1 2.81848 4 0.978194 0.765639 0.0716111
si6_r001_m600.00 7 13 1 3.1916 6 0.977191 0.845602 0.348519 81 1 2.82272 4 0.978194 0.767633 0.0738556
si6_r001_m600.07 7 13 1 3.17075 6 0.976713 0.84034 0.332315 79 1 2.82472 5 0.978172 0.766711 0.0767833
si6_r001_m600.03 7 13 1 3.15229 6 0.97662 0.838102 0.320185 81 1 2.8248 4 0.978256 0.767578 0.0759278
si6_r001_m600.01 7 14 1 3.1543 6 0.976713 0.838596 0.321914 81 1 2.82143 5 0.978228 0.766972 0.0731889
si6_r001_m600.06 7 14 1 3.15231 5 0.976636 0.838472 0.32054 80 1 2.8278 5 0.978283 0.768983 0.0774611
si6_r001_m600.08 7 13 1 3.15381 5 0.976759 0.839383 0.323056 80 1 2.8177 4 0.978167 0.765689 0.0708167
si6_r001_m600.02 7 13 1 3.15279 6 0.976682 0.83912 0.31946 80 1 2.82243 4 0.978156 0.767244 0.0739944
si6_r001_m600.04 7 13 1 3.19571 6 0.97696 0.843642 0.348781 79 1 2.82373 5 0.978206 0.766994 0.07545
si6_r001_m600.05 7 14 1 3.14183 5 0.976404 0.836389 0.313133 80 1 2.82532 5 0.978167 0.766611 0.0774722
si2_m4Dr2_m1296.05 6 3 1 5.21002 9 0.981053 0.934959 0.842683 221 1 5.67674 11 0.994633 0.979135 0.936073
si2_m4Dr2_m1296.09 6 3 1 5.35937 9 0.981679 0.938298 0.856129 219 1 5.6681 11 0.994633 0.979081 0.935415
si2_m4Dr2_m1296.02 6 3 1 5.83679 8 0.982961 0.94605 0.887613 221 1 5.70874 11 0.994633 0.979114 0.935997
si2_m4Dr2_m1296.07 6 3 1 5.37467 9 0.981172 0.936688 0.853237 219 1 5.66614 11 0.994634 0.979118 0.935631
si2_m4Dr2_m1296.00 6 3 1 5.00832 8 0.980755 0.931352 0.82867 219 1 5.7078 10 0.994633 0.979144 0.936083
si2_m4Dr2_m1296.06 6 3 1 5.6359 9 0.982454 0.943248 0.874942 218 1 5.66477 11 0.994633 0.979082 0.935302
si2_m4Dr2_m1296.08 6 3 1 5.67571 10 0.982663 0.944112 0.872796 220 1 5.67262 11 0.994633 0.979142 0.935938
si2_m4Dr2_m1296.01 6 3 1 5.95139 10 0.981917 0.943367 0.87849 221 1 5.70184 10 0.994636 0.979173 0.936195
si2_m4Dr2_m1296.03 6 3 1 5.6804 10 0.981738 0.938567 0.862808 220 1 5.67999 11 0.994633 0.979102 0.935746
si2_m4Dr2_m1296.04 6 3 1 5.04445 9 0.980456 0.930249 0.828431 221 1 5.7129 11 0.994633 0.979079 0.93575
si4_b06m_m800.08 4 5 1 4.21487 6 0.983281 0.938027 0.78041 69 1 4.5555 8 0.991256 0.96525 0.857809
si4_b06m_m800.00 4 6 1 4.15266 6 0.982812 0.933496 0.766543 69 1 4.53098 8 0.99125 0.964206 0.852216
si4_b06m_m800.06 4 6 1 4.21315 6 0.982539 0.930703 0.765449 67 1 4.5674 8 0.991256 0.964809 0.856169
si4_b06m_m800.05 4 6 1 4.3531 7 0.982461 0.934766 0.792676 68 1 4.5844 8 0.991256 0.964897 0.858912
si4_b06m_m800.04 4 5 1 4.44538 6 0.982734 0.937266 0.813555 68 1 4.53964 8 0.99125 0.96455 0.854912
si4_b06m_m800.09 4 6 1 4.275 7 0.983008 0.933027 0.781738 68 1 4.54834 8 0.991253 0.964612 0.856516
si4_b06m_m800.01 4 6 1 4.34963 6 0.982793 0.936562 0.795742 67 1 4.54151 8 0.991256 0.964672 0.855109
si4_b06m_m800.07 4 5 1 4.27161 6 0.983379 0.937324 0.784512 68 1 4.59625 8 0.991259 0.965259 0.859681
si4_b06m_m800.03 4 5 1 4.18525 6 0.983809 0.941309 0.779766 68 1 4.52889 9 0.991253 0.964484 0.853116
si4_b06m_m800.02 4 5 1 4.27578 6 0.98293 0.940801 0.788965 68 1 4.47516 8 0.99125 0.963603 0.845856
si6_m4Dr2_m625.08 6 9 1 5.07675 10 0.984619 0.944981 0.852523 38 1 5.08328 10 0.989061 0.958285 0.877368
si6_m4Dr2_m625.09 6 9 1 5.14399 10 0.985287 0.949134 0.864654 38 1 5.01586 9 0.989056 0.958167 0.875341
si6_m4Dr2_m625.05 6 9 1 5.13159 10 0.985159 0.948494 0.864142 39 1 5.08353 10 0.989061 0.958377 0.877834
si6_m4Dr2_m625.01 6 10 1 4.65835 10 0.983111 0.934201 0.808604 38 1 5.12417 10 0.989061 0.958157 0.87636
si6_m4Dr2_m625.06 6 9 1 4.92314 10 0.984192 0.94171 0.839225 38 1 5.03338 9 0.989056 0.958193 0.876073
si6_m4Dr2_m625.00 6 9 1 5.04051 10 0.985202 0.946759 0.854756 38 1 4.99254 9 0.989056 0.958157 0.875407
si6_m4Dr2_m625.03 6 9 1 4.98009 10 0.984107 0.941668 0.839808 39 1 5.11164 10 0.989056 0.958254 0.877829
si6_m4Dr2_m625.02 6 9 1 5.10729 9 0.984804 0.947243 0.862023 39 1 5.02631 10 0.989061 0.958326 0.877158
si6_m4Dr2_m625.07 6 10 1 4.86453 10 0.98432 0.942521 0.837803 38 1 5.00416 9 0.989066 0.958177 0.875264
si6_m4Dr2_m625.04 6 9 1 5.01861 9 0.984448 0.944185 0.848996 39 1 5.0622 10 0.989056 0.958141 0.876385
si2_m4D_m1296.01 5 3 0 5.85917 15 0.676287 0.636514 0.568984 110 0 6.49652 17 0.328275 0.316258 0.292934
si2_m4D_m1296.08 5 3 1 5.23055 10 0.976342 0.915639 0.803387 109 0 6.49652 17 0.328275 0.316258 0.292934
si2_m4D_m1296.06 5 3 0 5.86047 15 0.676197 0.636484 0.568984 110 0 6.49652 17 0.328275 0.316258 0.292934
si2_m4D_m1296.05 5 4 1 5.28 11 0.975448 0.914238 0.799123 109 0 6.49652 17 0.328275 0.316258 0.292934
si2_m4D_m1296.09 5 4 1 5.4667 13 0.976104 0.916474 0.808455 109 0 6.49652 17 0.328275 0.316258 0.292934
si2_m4D_m1296.03 5 3 0 5.86047 15 0.676197 0.636484 0.568984 109 0 6.49652 17 0.328275 0.316258 0.292934
si2_m4D_m1296.07 5 4 1 5.36021 11 0.976819 0.918203 0.810662 110 0 6.49652 17 0.328275 0.316258 0.292934
si2_m4D_m1296.02 5 4 1 5.64652 14 0.976133 0.919157 0.814895 109 0 6.49652 17 0.328275 0.316258 0.292934
si2_m4D_m1296.04 5 4 1 5.39942 12 0.976044 0.917011 0.807322 110 0 6.49652 17 0.328275 0.316258 0.292934
si2_m4D_m1296.00 5 4 1 5.1237 10 0.975656 0.912568 0.792892 109 0 6.49652 17 0.328275 0.316258 0.292934
si4_b03_m800.05 3 3 1 54.0031 160 0.987559 0.975176 0.962871 62 1 100.625 200 0.995 0.99 0.985
si4_b03_m800.00 3 3 1 54.0031 160 0.987559 0.975176 0.962871 61 1 100.625 200 0.995 0.99 0.985
si4_b03_m800.08 3 3 1 54.0031 160 0.987559 0.975176 0.962871 61 1 100.625 200 0.995 0.99 0.985
si4_b03_m800.09 3 3 1 54.0031 160 0.987559 0.975176 0.962871 61 1 100.625 200 0.995 0.99 0.985
si4_b03_m800.03 3 3 1 54.0031 160 0.987559 0.975176 0.962871 62 1 100.625 200 0.995 0.99 0.985
si4_b03_m800.02 3 3 1 54.0031 160 0.987559 0.975176 0.962871 62 1 100.625 200 0.995 0.99 0.985
si4_b03_m800.04 3 3 1 54.0031 160 0.987559 0.975176 0.962871 62 1 100.625 200 0.995 0.99 0.985
si4_b03_m800.01 3 3 1 54.0031 160 0.987559 0.975176 0.962871 62 1 100.625 200 0.995 0.99 0.985
si4_b03_m800.06 3 3 1 54.0031 160 0.987559 0.975176 0.962871 62 1 100.625 200 0.995 0.99 0.985
si4_b03_m800.07 3 3 1 54.0031 160 0.987559 0.975176 0.962871 62 1 100.625 200 0.995 0.99 0.985
si6_m4D_m1296.02 5 38 0 6.70166 17 0.688637 0.668085 0.625423 108 0 6.49652 17 0.328275 0.316258 0.292934
si6_m4D_m1296.07 5 25 0 6.95348 18 0.302314 0.290793 0.271479 109 0 6.49652 17 0.328275 0.316258 0.292934
si6_m4D_m1296.05 5 38 0 6.70062 17 0.688855 0.66829 0.625579 109 0 6.49652 17 0.328275 0.316258 0.292934
si6_m4D_m1296.09 5 24 0 6.53529 18 0.303 0.290816 0.26973 109 0 6.49652 17 0.328275 0.316258 0.292934
si6_m4D_m1296.00 5 25 0 6.94277 25 0.30089 0.288553 0.267517 109 0 6.49652 17 0.328275 0.316258 0.292934
si6_m4D_m1296.08 5 38 0 6.7009 17 0.689101 0.668565 0.625864 109 0 6.49652 17 0.328275 0.316258 0.292934
si6_m4D_m1296.04 5 38 0 6.70433 17 0.688299 0.667902 0.625377 109 0 6.49652 17 0.328275 0.316258 0.292934
si6_m4D_m1296.06 5 23 0 6.65989 17 0.240466 0.229547 0.211618 109 0 6.49652 17 0.328275 0.316258 0.292934
si6_m4D_m1296.01 5 23 0 6.4218 16 0.264788 0.252895 0.23285 109 0 6.49652 17 0.328275 0.316258 0.292934
si6_m4D_m1296.03 5 24 0 7.10994 18 0.28162 0.270277 0.251527 109 0 6.49652 17 0.328275 0.316258 0.292934
si6_r001_m200.05 7 0 1 4.40168 11 0.965556 0.894028 0.727778 3 1 3.67819 8 0.97245 0.87855 0.5927
si6_r001_m200.09 7 0 1 4.23361 9 0.965139 0.889722 0.712778 2 1 3.67729 8 0.9726 0.87975 0.5965
si6_r001_m200.07 7 0 1 3.81527 8 0.962222 0.862778 0.616667 2 1 3.69844 7 0.9729 0.8815 0.6017
