@relation R_data_frame

@attribute instance_id string
@attribute algorithm string
@attribute time numeric
@attribute repetition numeric
@attribute runstatus {ok,timeout}

@data
si2_m4Dr2_m1296.07,lad,0.515,1,ok
si2_m4Dr2_m1296.00,lad,0.104,1,ok
si2_m4Dr2_m1296.06,lad,2.628,1,ok
si2_m4Dr2_m1296.08,lad,1.243,1,ok
si2_m4Dr2_m1296.01,lad,2.315,1,ok
si2_m4Dr2_m1296.03,lad,1.232,1,ok
si2_m4Dr2_m1296.04,lad,0.121,1,ok
si4_b06m_m800.08,lad,0.084,1,ok
si4_b06m_m800.00,lad,0.087,1,ok
si4_b06m_m800.06,lad,0.084,1,ok
si4_b06m_m800.05,lad,0.081,1,ok
si4_b06m_m800.04,lad,0.107,1,ok
si4_b06m_m800.09,lad,0.083,1,ok
si4_b06m_m800.01,lad,0.092,1,ok
si4_b06m_m800.07,lad,0.087,1,ok
si4_b06m_m800.03,lad,0.091,1,ok
si4_b06m_m800.02,lad,0.092,1,ok
si6_m4Dr2_m625.08,lad,0.279,1,ok
si6_m4Dr2_m625.09,lad,0.269,1,ok
si6_m4Dr2_m625.05,lad,0.449,1,ok
si6_m4Dr2_m625.01,lad,0.068,1,ok
si6_m4Dr2_m625.06,lad,0.068,1,ok
si6_m4Dr2_m625.00,lad,0.067,1,ok
si6_m4Dr2_m625.03,lad,0.067,1,ok
si6_m4Dr2_m625.02,lad,0.464,1,ok
si6_m4Dr2_m625.07,lad,0.065,1,ok
si6_m4Dr2_m625.04,lad,0.368,1,ok
si2_m4D_m1296.01,lad,4.019,1,ok
si2_m4D_m1296.08,lad,0.66,1,ok
si2_m4D_m1296.06,lad,3.14,1,ok
si2_m4D_m1296.05,lad,0.782,1,ok
si2_m4D_m1296.09,lad,1.003,1,ok
si2_m4D_m1296.03,lad,2.695,1,ok
si2_m4D_m1296.07,lad,0.924,1,ok
si2_m4D_m1296.02,lad,1.263,1,ok
si2_m4D_m1296.04,lad,1.087,1,ok
si2_m4D_m1296.00,lad,0.535,1,ok
si4_b03_m800.05,lad,1.781,1,ok
si4_b03_m800.00,lad,1.695,1,ok
si4_b03_m800.08,lad,1.698,1,ok
si4_b03_m800.09,lad,1.705,1,ok
si4_b03_m800.03,lad,1.713,1,ok
si4_b03_m800.02,lad,1.694,1,ok
si4_b03_m800.04,lad,1.73,1,ok
si4_b03_m800.01,lad,1.714,1,ok
si4_b03_m800.06,lad,1.717,1,ok
si4_b03_m800.07,lad,1.716,1,ok
si6_m4D_m1296.02,lad,2.815,1,ok
si6_m4D_m1296.07,lad,8.473,1,ok
si6_m4D_m1296.05,lad,2.847,1,ok
si6_m4D_m1296.09,lad,9.381,1,ok
si6_m4D_m1296.00,lad,275.88,1,ok
si6_m4D_m1296.08,lad,3.025,1,ok
si6_m4D_m1296.04,lad,2.724,1,ok
si6_m4D_m1296.06,lad,11.296,1,ok
si6_m4D_m1296.01,lad,10.683,1,ok
si6_m4D_m1296.03,lad,17.428,1,ok
si6_r001_m200.05,lad,0.043,1,ok
si6_r001_m200.09,lad,0.037,1,ok
si6_r001_m200.07,lad,0.005,1,ok
si6_r001_m200.02,lad,0.028,1,ok
si6_r001_m200.01,lad,0.018,1,ok
si6_r001_m200.00,lad,0.01,1,ok
si6_r001_m200.04,lad,0.02,1,ok
si6_r001_m200.06,lad,0.005,1,ok
si6_r001_m200.08,lad,0.006,1,ok
si6_r001_m200.03,lad,0.026,1,ok
si4_b06_m400.06,lad,0.471,1,ok
si4_b06_m400.07,lad,0.486,1,ok
si4_b06_m400.09,lad,0.473,1,ok
si4_b06_m400.01,lad,0.477,1,ok
si4_b06_m400.04,lad,0.48,1,ok
si4_b06_m400.03,lad,0.491,1,ok
si4_b06_m400.00,lad,0.476,1,ok
si4_b06_m400.05,lad,0.477,1,ok
si4_b06_m400.08,lad,0.472,1,ok
si4_b06_m400.02,lad,0.497,1,ok
si2_m4Dr6_m256.06,lad,0.022,1,ok
si2_m4Dr6_m256.05,lad,0.016,1,ok
si2_m4Dr6_m256.09,lad,0.044,1,ok
si2_m4Dr6_m256.00,lad,0.023,1,ok
si2_m4Dr6_m256.07,lad,0.015,1,ok
si2_m4Dr6_m256.04,lad,0.023,1,ok
si2_m4Dr6_m256.02,lad,0.037,1,ok
si2_m4Dr6_m256.01,lad,0.026,1,ok
si2_m4Dr6_m256.08,lad,0.047,1,ok
si2_m4Dr6_m256.03,lad,0.029,1,ok
si6_r01_m200.04,lad,1.446,1,ok
si6_r01_m200.08,lad,3.396,1,ok
si6_r01_m200.02,lad,29.005,1,ok
si6_r01_m200.09,lad,12.916,1,ok
si6_r01_m200.07,lad,8.121,1,ok
si6_r01_m200.00,lad,17.65,1,ok
si6_r01_m200.01,lad,96.726,1,ok
si6_r01_m200.03,lad,58.457,1,ok
si6_r01_m200.05,lad,64.344,1,ok
si6_r01_m200.06,lad,39.424,1,ok
si2_b03m_m800.03,lad,0.025,1,ok
si2_b03m_m800.02,lad,0.023,1,ok
si2_b03m_m800.09,lad,0.027,1,ok
si2_b03m_m800.04,lad,0.026,1,ok
si2_b03m_m800.06,lad,0.024,1,ok
si2_b03m_m800.05,lad,0.026,1,ok
si2_b03m_m800.01,lad,0.025,1,ok
si2_b03m_m800.08,lad,0.028,1,ok
si2_b03m_m800.07,lad,0.026,1,ok
si2_b03m_m800.00,lad,0.024,1,ok
si2_r001_m200.06,lad,0.016,1,ok
si2_r001_m200.01,lad,0.012,1,ok
si2_r001_m200.02,lad,0.016,1,ok
si2_r001_m200.07,lad,0.014,1,ok
si2_r001_m200.04,lad,0.009,1,ok
si2_r001_m200.05,lad,0.013,1,ok
si2_r001_m200.09,lad,0.01,1,ok
si2_r001_m200.03,lad,0.024,1,ok
si2_r001_m200.00,lad,0.012,1,ok
si2_r001_m200.08,lad,0.015,1,ok
si6_b03m_m800.01,lad,0.076,1,ok
si6_b03m_m800.08,lad,0.075,1,ok
si6_b03m_m800.03,lad,0.075,1,ok
si6_b03m_m800.00,lad,0.082,1,ok
si6_b03m_m800.04,lad,0.089,1,ok
si6_b03m_m800.05,lad,0.081,1,ok
si6_b03m_m800.07,lad,0.075,1,ok
si6_b03m_m800.06,lad,0.072,1,ok
si6_b03m_m800.09,lad,0.073,1,ok
si6_b03m_m800.02,lad,0.072,1,ok
si4_r005_m200.00,lad,31.255,1,ok
si4_r005_m200.08,lad,8.79,1,ok
si4_r005_m200.02,lad,7.087,1,ok
si4_r005_m200.05,lad,0.328,1,ok
si4_r005_m200.06,lad,0.221,1,ok
si4_r005_m200.04,lad,34.325,1,ok
si4_r005_m200.07,lad,12.872,1,ok
si4_r005_m200.09,lad,3.794,1,ok
si4_r005_m200.01,lad,10.521,1,ok
si4_r005_m200.03,lad,15.482,1,ok
si6_b09m_m400.03,lad,0.047,1,ok
si6_b09m_m400.07,lad,0.047,1,ok
si6_b09m_m400.00,lad,0.049,1,ok
si6_b09m_m400.04,lad,0.048,1,ok
si6_b09m_m400.06,lad,0.048,1,ok
si6_b09m_m400.08,lad,0.048,1,ok
si6_b09m_m400.02,lad,0.048,1,ok
si6_b09m_m400.05,lad,0.046,1,ok
si6_b09m_m400.09,lad,0.048,1,ok
si6_b09m_m400.01,lad,0.049,1,ok
si2_b09_m200.08,lad,0.047,1,ok
si2_b09_m200.01,lad,0.049,1,ok
si2_b09_m200.06,lad,0.048,1,ok
si2_b09_m200.05,lad,0.05,1,ok
si2_b09_m200.00,lad,0.048,1,ok
si2_b09_m200.02,lad,0.081,1,ok
si2_b09_m200.03,lad,0.048,1,ok
si2_b09_m200.04,lad,0.051,1,ok
si2_b09_m200.09,lad,0.065,1,ok
si2_b09_m200.07,lad,0.047,1,ok
si6_r01_m600.02,lad,52864.341,1,ok
si6_r01_m600.06,lad,56811.435,1,ok
si6_r01_m600.09,lad,20206.954,1,ok
si6_r01_m600.08,lad,19981.146,1,ok
si6_r01_m600.05,lad,4984.289,1,ok
si6_r01_m600.07,lad,37238.221,1,ok
si6_r01_m600.03,lad,?,1,timeout
si6_r01_m600.00,lad,31413.225,1,ok
si6_r01_m600.01,lad,33384.998,1,ok
si6_r01_m600.04,lad,29963.646,1,ok
si2_b06_m200.02,lad,0.036,1,ok
si2_b06_m200.00,lad,0.032,1,ok
si2_b06_m200.01,lad,0.032,1,ok
si2_b06_m200.06,lad,0.034,1,ok
si2_b06_m200.09,lad,0.035,1,ok
si2_b06_m200.07,lad,0.034,1,ok
si2_b06_m200.04,lad,0.035,1,ok
si2_b06_m200.08,lad,0.034,1,ok
si2_b06_m200.03,lad,0.036,1,ok
si2_b06_m200.05,lad,0.033,1,ok
si6_m4Dr2_m1296.05,lad,0.301,1,ok
si6_m4Dr2_m1296.09,lad,1.196,1,ok
si6_m4Dr2_m1296.01,lad,0.316,1,ok
si6_m4Dr2_m1296.06,lad,0.34,1,ok
si6_m4Dr2_m1296.07,lad,0.539,1,ok
si6_m4Dr2_m1296.03,lad,0.311,1,ok
si6_m4Dr2_m1296.04,lad,0.303,1,ok
si6_m4Dr2_m1296.00,lad,0.333,1,ok
si6_m4Dr2_m1296.08,lad,0.339,1,ok
si6_m4Dr2_m1296.02,lad,0.302,1,ok
si2_b09m_m800.09,lad,0.065,1,ok
si2_b09m_m800.07,lad,0.073,1,ok
si2_b09m_m800.00,lad,0.085,1,ok
si2_b09m_m800.04,lad,0.064,1,ok
si2_b09m_m800.02,lad,0.074,1,ok
si2_b09m_m800.05,lad,0.064,1,ok
si2_b09m_m800.03,lad,0.522,1,ok
si2_b09m_m800.08,lad,0.064,1,ok
si2_b09m_m800.06,lad,0.454,1,ok
si2_b09m_m800.01,lad,0.083,1,ok
si4_b03_m400.01,lad,0.229,1,ok
si4_b03_m400.02,lad,0.235,1,ok
si4_b03_m400.05,lad,0.233,1,ok
si4_b03_m400.07,lad,0.233,1,ok
si4_b03_m400.06,lad,0.231,1,ok
si4_b03_m400.00,lad,0.231,1,ok
si4_b03_m400.03,lad,0.233,1,ok
si4_b03_m400.04,lad,0.232,1,ok
si4_b03_m400.09,lad,0.237,1,ok
si4_b03_m400.08,lad,0.243,1,ok
si2_b03_m200.05,lad,0.014,1,ok
si2_b03_m200.09,lad,0.017,1,ok
si2_b03_m200.07,lad,0.015,1,ok
si2_b03_m200.01,lad,0.016,1,ok
si2_b03_m200.08,lad,0.016,1,ok
si2_b03_m200.02,lad,0.015,1,ok
si2_b03_m200.04,lad,0.018,1,ok
si2_b03_m200.03,lad,0.015,1,ok
si2_b03_m200.06,lad,0.015,1,ok
si2_b03_m200.00,lad,0.014,1,ok
si4_r005_m600.00,lad,3953.282,1,ok
si4_r005_m600.02,lad,1937.586,1,ok
si4_r005_m600.08,lad,807.558,1,ok
si4_r005_m600.05,lad,49187.545,1,ok
si4_r005_m600.07,lad,7124.346,1,ok
si4_r005_m600.06,lad,9065.017,1,ok
si4_r005_m600.01,lad,3783.141,1,ok
si4_r005_m600.04,lad,1978.291,1,ok
si4_r005_m600.03,lad,1403.962,1,ok
si4_r005_m600.09,lad,3850.655,1,ok
si4_b09_m400.05,lad,0.741,1,ok
si4_b09_m400.03,lad,0.743,1,ok
si4_b09_m400.00,lad,0.781,1,ok
si4_b09_m400.07,lad,0.706,1,ok
si4_b09_m400.01,lad,0.73,1,ok
si4_b09_m400.06,lad,0.753,1,ok
si4_b09_m400.04,lad,0.752,1,ok
si4_b09_m400.02,lad,0.71,1,ok
si4_b09_m400.08,lad,0.722,1,ok
si4_b09_m400.09,lad,0.691,1,ok
si4_b06m_m400.06,lad,0.035,1,ok
si4_b06m_m400.03,lad,0.02,1,ok
si4_b06m_m400.01,lad,0.02,1,ok
si4_b06m_m400.08,lad,0.021,1,ok
si4_b06m_m400.05,lad,0.021,1,ok
si4_b06m_m400.07,lad,0.022,1,ok
si4_b06m_m400.00,lad,0.02,1,ok
si4_b06m_m400.04,lad,0.021,1,ok
si4_b06m_m400.09,lad,0.017,1,ok
si4_b06m_m400.02,lad,0.02,1,ok
si2_m4Dr2_m625.05,lad,0.077,1,ok
si2_m4Dr2_m625.00,lad,0.223,1,ok
si2_m4Dr2_m625.08,lad,0.023,1,ok
si2_m4Dr2_m625.09,lad,0.081,1,ok
si2_m4Dr2_m625.06,lad,0.208,1,ok
si2_m4Dr2_m625.04,lad,0.458,1,ok
si2_m4Dr2_m625.01,lad,0.115,1,ok
si2_m4Dr2_m625.03,lad,0.183,1,ok
si2_m4Dr2_m625.02,lad,0.17,1,ok
si2_m4Dr2_m625.07,lad,0.1,1,ok
si2_r005_m200.02,lad,5.947,1,ok
si2_r005_m200.01,lad,216.261,1,ok
si2_r005_m200.03,lad,4.436,1,ok
si2_r005_m200.05,lad,14.597,1,ok
si2_r005_m200.08,lad,48.83,1,ok
si2_r005_m200.04,lad,10.942,1,ok
si2_r005_m200.09,lad,0.141,1,ok
si2_r005_m200.06,lad,0.176,1,ok
si2_r005_m200.00,lad,33.519,1,ok
si2_r005_m200.07,lad,5.074,1,ok
si4_b03m_m400.03,lad,0.01,1,ok
si4_b03m_m400.09,lad,0.011,1,ok
si4_b03m_m400.08,lad,0.016,1,ok
si4_b03m_m400.04,lad,0.011,1,ok
si4_b03m_m400.00,lad,0.01,1,ok
si4_b03m_m400.01,lad,0.011,1,ok
si4_b03m_m400.07,lad,0.011,1,ok
si4_b03m_m400.02,lad,0.019,1,ok
si4_b03m_m400.06,lad,0.012,1,ok
si4_b03m_m400.05,lad,0.01,1,ok
si2_r01_m600.01,lad,?,1,timeout
si2_r01_m600.06,lad,?,1,timeout
si2_r01_m600.09,lad,?,1,timeout
si2_r01_m600.08,lad,?,1,timeout
si2_r01_m600.04,lad,?,1,timeout
si2_r01_m600.02,lad,?,1,timeout
si2_r01_m600.00,lad,?,1,timeout
si2_r01_m600.07,lad,?,1,timeout
si2_r01_m600.03,lad,?,1,timeout
si2_r01_m600.05,lad,?,1,timeout
si4_m4Dr6_m256.01,lad,0.01,1,ok
si4_m4Dr6_m256.00,lad,0.084,1,ok
si4_m4Dr6_m256.05,lad,0.148,1,ok
si4_m4Dr6_m256.08,lad,0.104,1,ok
si4_m4Dr6_m256.03,lad,0.012,1,ok
si4_m4Dr6_m256.06,lad,0.061,1,ok
si4_m4Dr6_m256.09,lad,0.064,1,ok
si4_m4Dr6_m256.07,lad,0.384,1,ok
si4_m4Dr6_m256.02,lad,0.034,1,ok
si4_m4Dr6_m256.04,lad,0.081,1,ok
si2_b03m_m400.02,lad,0.006,1,ok
si2_b03m_m400.00,lad,0.005,1,ok
si2_b03m_m400.01,lad,0.009,1,ok
si2_b03m_m400.05,lad,0.007,1,ok
si2_b03m_m400.08,lad,0.008,1,ok
si2_b03m_m400.07,lad,0.007,1,ok
si2_b03m_m400.09,lad,0.004,1,ok
si2_b03m_m400.03,lad,0.008,1,ok
si2_b03m_m400.04,lad,0.005,1,ok
si2_b03m_m400.06,lad,0.008,1,ok
si2_b03m_m200.05,lad,0.002,1,ok
si2_b03m_m200.03,lad,0.001,1,ok
si2_b03m_m200.00,lad,0.004,1,ok
si2_b03m_m200.08,lad,0.001,1,ok
si2_b03m_m200.06,lad,0.002,1,ok
si2_b03m_m200.02,lad,0.001,1,ok
si2_b03m_m200.09,lad,0.002,1,ok
si2_b03m_m200.04,lad,0.002,1,ok
si2_b03m_m200.01,lad,0.002,1,ok
si2_b03m_m200.07,lad,0.001,1,ok
si4_r001_m200.04,lad,0.019,1,ok
si4_r001_m200.07,lad,0.031,1,ok
si4_r001_m200.00,lad,0.018,1,ok
si4_r001_m200.01,lad,0.018,1,ok
si4_r001_m200.03,lad,0.025,1,ok
si4_r001_m200.06,lad,0.018,1,ok
si4_r001_m200.05,lad,0.023,1,ok
si4_r001_m200.08,lad,0.021,1,ok
si4_r001_m200.09,lad,0.13,1,ok
si4_r001_m200.02,lad,0.029,1,ok
si2_m4D_m256.08,lad,0.043,1,ok
si2_m4D_m256.03,lad,0.062,1,ok
si2_m4D_m256.02,lad,0.018,1,ok
si2_m4D_m256.06,lad,0.035,1,ok
si2_m4D_m256.04,lad,0.012,1,ok
si2_m4D_m256.07,lad,0.017,1,ok
si2_m4D_m256.01,lad,0.037,1,ok
si2_m4D_m256.09,lad,0.021,1,ok
si2_m4D_m256.00,lad,0.018,1,ok
si2_m4D_m256.05,lad,0.032,1,ok
si6_r01_m400.04,lad,663.141,1,ok
si6_r01_m400.08,lad,73.242,1,ok
si6_r01_m400.07,lad,1112.504,1,ok
si6_r01_m400.06,lad,732.864,1,ok
si6_r01_m400.05,lad,4122.298,1,ok
si6_r01_m400.02,lad,8593.767,1,ok
si6_r01_m400.00,lad,470.321,1,ok
si6_r01_m400.03,lad,1645.301,1,ok
si6_r01_m400.01,lad,3533.5,1,ok
si6_r01_m400.09,lad,10490.767,1,ok
si2_m4Dr4_m625.07,lad,0.49,1,ok
si2_m4Dr4_m625.02,lad,0.037,1,ok
si2_m4Dr4_m625.03,lad,0.028,1,ok
si2_m4Dr4_m625.00,lad,0.044,1,ok
si2_m4Dr4_m625.05,lad,0.023,1,ok
si2_m4Dr4_m625.06,lad,0.256,1,ok
si2_m4Dr4_m625.09,lad,0.688,1,ok
si2_m4Dr4_m625.01,lad,0.38,1,ok
si2_m4Dr4_m625.08,lad,0.739,1,ok
si2_m4Dr4_m625.04,lad,1.599,1,ok
si4_r01_m400.01,lad,37391.015,1,ok
si4_r01_m400.08,lad,31850.022,1,ok
si4_r01_m400.02,lad,8414.434,1,ok
si4_r01_m400.03,lad,?,1,timeout
si4_r01_m400.07,lad,20136.699,1,ok
si4_r01_m400.06,lad,15246.797,1,ok
si4_r01_m400.04,lad,?,1,timeout
si4_r01_m400.00,lad,?,1,timeout
si4_r01_m400.05,lad,51811.766,1,ok
si4_r01_m400.09,lad,8689.054,1,ok
si2_b09m_m400.09,lad,0.013,1,ok
si2_b09m_m400.03,lad,0.132,1,ok
si2_b09m_m400.01,lad,0.017,1,ok
si2_b09m_m400.08,lad,0.043,1,ok
si2_b09m_m400.05,lad,0.135,1,ok
si2_b09m_m400.06,lad,0.015,1,ok
si2_b09m_m400.00,lad,0.015,1,ok
si2_b09m_m400.02,lad,0.017,1,ok
si2_b09m_m400.04,lad,0.014,1,ok
si2_b09m_m400.07,lad,0.014,1,ok
si2_b09_m800.07,lad,2.478,1,ok
si2_b09_m800.04,lad,2.47,1,ok
si2_b09_m800.05,lad,2.489,1,ok
si2_b09_m800.00,lad,2.404,1,ok
si2_b09_m800.02,lad,2.458,1,ok
si2_b09_m800.01,lad,2.494,1,ok
si2_b09_m800.08,lad,2.548,1,ok
si2_b09_m800.09,lad,2.497,1,ok
si2_b09_m800.03,lad,2.478,1,ok
si2_b09_m800.06,lad,2.821,1,ok
si6_b03_m400.04,lad,0.359,1,ok
si6_b03_m400.09,lad,0.363,1,ok
si6_b03_m400.02,lad,0.356,1,ok
si6_b03_m400.06,lad,0.362,1,ok
si6_b03_m400.05,lad,0.385,1,ok
si6_b03_m400.08,lad,0.354,1,ok
si6_b03_m400.01,lad,0.36,1,ok
si6_b03_m400.07,lad,0.36,1,ok
si6_b03_m400.03,lad,0.358,1,ok
si6_b03_m400.00,lad,0.357,1,ok
si2_r005_m600.03,lad,?,1,timeout
si2_r005_m600.00,lad,?,1,timeout
si2_r005_m600.06,lad,99965.461,1,ok
si2_r005_m600.01,lad,?,1,timeout
si2_r005_m600.04,lad,?,1,timeout
si2_r005_m600.09,lad,4430.425,1,ok
si2_r005_m600.05,lad,?,1,timeout
si2_r005_m600.02,lad,?,1,timeout
si2_r005_m600.08,lad,?,1,timeout
si2_r005_m600.07,lad,?,1,timeout
si4_r01_m600.05,lad,?,1,timeout
si4_r01_m600.02,lad,52344.438,1,ok
si4_r01_m600.03,lad,?,1,timeout
si4_r01_m600.07,lad,?,1,timeout
si4_r01_m600.08,lad,?,1,timeout
si4_r01_m600.06,lad,?,1,timeout
si4_r01_m600.01,lad,?,1,timeout
si4_r01_m600.04,lad,86517.685,1,ok
si4_r01_m600.00,lad,?,1,timeout
si4_r01_m600.09,lad,?,1,timeout
si2_b09_m400.04,lad,0.335,1,ok
si2_b09_m400.08,lad,0.33,1,ok
si2_b09_m400.05,lad,0.414,1,ok
si2_b09_m400.01,lad,0.335,1,ok
si2_b09_m400.03,lad,0.409,1,ok
si2_b09_m400.02,lad,0.332,1,ok
si2_b09_m400.07,lad,0.335,1,ok
si2_b09_m400.09,lad,0.628,1,ok
si2_b09_m400.06,lad,0.332,1,ok
si2_b09_m400.00,lad,0.338,1,ok
si4_b06_m200.06,lad,0.07,1,ok
si4_b06_m200.03,lad,0.07,1,ok
si4_b06_m200.02,lad,0.072,1,ok
si4_b06_m200.07,lad,0.072,1,ok
si4_b06_m200.05,lad,0.07,1,ok
si4_b06_m200.08,lad,0.073,1,ok
si4_b06_m200.00,lad,0.076,1,ok
si4_b06_m200.04,lad,0.071,1,ok
si4_b06_m200.01,lad,0.071,1,ok
si4_b06_m200.09,lad,0.071,1,ok
si4_r005_m400.06,lad,67.233,1,ok
si4_r005_m400.03,lad,121.947,1,ok
si4_r005_m400.07,lad,125.572,1,ok
si4_r005_m400.01,lad,235.754,1,ok
si4_r005_m400.04,lad,1255.071,1,ok
si4_r005_m400.00,lad,2455.91,1,ok
si4_r005_m400.09,lad,536.65,1,ok
