@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute cheap_pattern numeric
@attribute cheap_target numeric
@attribute distance_pattern numeric
@attribute distance_target numeric
@attribute lad_features numeric

@data
g10-g28,1,0,0,0,0,0
g10-g29,1,0,0,0.001,0.001,0
g10-g30,1,0,0,0.001,0.001,0
g10-g31,1,0,0,0.001,0.001,0
g10-g32,1,0,0,0.003,0.003,0
g10-g33,1,0,0,0,0,0
g10-g37,1,0,0,0.001,0.001,0
g10-g38,1,0,0,0,0,0
g10-g40,1,0,0,0.003,0.003,0
g10-g41,1,0,0,0.001,0.001,0
g10-g42,1,0,0,0.001,0.001,0
g10-g43,1,0,0,0.001,0.001,0
g10-g44,1,0,0,0.001,0.001,0
g10-g45,1,0,0,0.001,0.001,0
g10-g46,1,0,0,0.002,0.002,0
g10-g47,1,0,0,0.001,0.001,0
g10-g48,1,0,0,0.002,0.002,0
g10-g49,1,0,0,0.001,0.001,0
g10-g50,1,0,0,0.003,0.003,0
g10-g51,1,0,0,0.001,0.001,0
g10-g52,1,0,0,0.001,0.001,0
g10-g53,1,0,0,0.002,0.002,0
g10-g54,1,0,0,0.005,0.005,0
g10-g55,1,0,0,0.005,0.005,0
g10-g56,1,0,0,0.005,0.005,0
g10-g57,1,0,0,0.001,0.001,0
g10-g58-normed,1,0,0,0.003,0.003,0
g10-g59-normed,1,0,0,0.003,0.003,0
g10-g60-normed,1,0,0,0.005,0.005,0
g10-g61,1,0,0,0.005,0.005,0
g10-g62,1,0,0,0.007,0.007,0
g10-g63,1,0,0,0.023,0.023,0
g10-g64,1,0,0,0.051,0.051,0.004
g10-g65,1,0,0,0.027,0.027,0
g10-g66-normed,1,0,0,0.027,0.027,0
g10-g67,1,0,0,0.013,0.013,0
g10-g68,1,0,0,0.057,0.057,0
g10-g69,1,0,0,0.022,0.022,0
g10-g70,1,0,0,0.017,0.017,0
g10-g71,1,0,0,0.022,0.022,0
g10-g72,1,0,0,0.007,0.007,0
g10-g73-normed,1,0,0,0.029,0.029,0
g10-g74,1,0,0,0.019,0.019,0
g10-g75,1,0,0,0.032,0.032,0.004
g10-g76,1,0,0,0.155,0.155,0.015
g10-g77,1,0,0,0.319,0.319,0.019
g10-g78,1,0,0,0.067,0.067,0
g10-g79,1,0,0,0.041,0.041,0
g10-g80,1,0,0.001,0.021,0.021,0
g10-g81,1,0,0.001,0.207,0.207,0.001
g10-g82-normed,1,0,0.001,0.208,0.208,0.001
g10-g83,1,0,0.001,0.162,0.162,0
g10-g84,1,0,0.001,0.789,0.789,0.015
g10-g85,1,0,0.001,0.089,0.089,0
g10-g86-normed,1,0,0.001,0.09,0.09,0
g10-g87,1,0,0.001,0.129,0.129,0.002
g10-g88,1,0,0.001,0.142,0.142,0
g10-g89,1,0,0.001,0.111,0.111,0
g10-g90,1,0,0.002,0.266,0.266,0.001
g10-g91,1,0,0.002,0.165,0.165,0.009
g10-g92,1,0,0.003,0.228,0.228,0.008
g10-g93-normed,1,0,0.003,5.658,5.658,0.048
g10-g94,1,0,0.004,0.47,0.47,0.003
g10-g95,1,0,0.005,0.151,0.151,0.001
g10-g96,1,0,0.005,0.176,0.176,0
g10-g97,1,0,0.005,0.181,0.181,0.001
g10-g98,1,0,0.005,0.27,0.27,0.001
g10-g99,1,0,0.005,0.268,0.268,0.002
g11-g100,1,0,0.005,0.13,0.13,0
g11-g101,1,0,0.006,0.702,0.702,0.002
g11-g102,1,0,0.006,0.824,0.824,0.001
g11-g103,1,0,0.006,1.085,1.085,0.003
g11-g104,1,0,0.014,1.402,1.402,0.004
g11-g105,1,0,0.014,1.4,1.4,0.005
g11-g106,1,0,0.025,4.939,4.939,0.009
g11-g107,1,0,0.025,2.952,2.952,0.007
g11-g108,1,0,0.029,3.662,3.662,0.009
g11-g109,1,0,0.031,4.206,4.206,0.005
g11-g110,1,0,0.036,9.763,9.763,0.02
g11-g111,1,0,0.04,5.664,5.664,0.011
g11-g112,1,0,0.054,5.959,5.959,0.046
g11-g12,1,0,0,0,0,0
g11-g13,1,0,0,0,0,0
g11-g14,1,0,0,0,0,0
g11-g15,1,0,0,0,0,0
g11-g16,1,0,0,0,0,0
g11-g20,1,0,0,0,0,0
g11-g21,1,0,0,0,0,0
g11-g22,1,0,0,0,0,0
g11-g23,1,0,0,0,0,0
g11-g25,1,0,0,0,0,0
g11-g26,1,0,0,0,0,0
g11-g27,1,0,0,0,0,0
g11-g28,1,0,0,0,0,0
g11-g29,1,0,0,0.001,0.001,0
g11-g30,1,0,0,0.001,0.001,0
g11-g31,1,0,0,0.001,0.001,0
g11-g32,1,0,0,0.003,0.003,0
g11-g33,1,0,0,0,0,0
g11-g37,1,0,0,0.001,0.001,0
g11-g38,1,0,0,0,0,0
g11-g40,1,0,0,0.003,0.003,0
g11-g41,1,0,0,0.001,0.001,0
g11-g42,1,0,0,0.001,0.001,0
g11-g43,1,0,0,0.001,0.001,0
g11-g44,1,0,0,0.001,0.001,0
g11-g45,1,0,0,0.001,0.001,0
g11-g46,1,0,0,0.002,0.002,0
g11-g47,1,0,0,0.002,0.002,0
g11-g48,1,0,0,0.002,0.002,0
g11-g49,1,0,0,0.001,0.001,0
g11-g50,1,0,0,0.003,0.003,0
g11-g51,1,0,0,0.001,0.001,0
g11-g52,1,0,0,0.001,0.001,0
g11-g53,1,0,0,0.002,0.002,0
g11-g54,1,0,0,0.005,0.005,0
g11-g55,1,0,0,0.005,0.005,0
g11-g56,1,0,0,0.005,0.005,0
g11-g57,1,0,0,0.001,0.001,0
g11-g58-normed,1,0,0,0.003,0.003,0
g11-g59-normed,1,0,0,0.003,0.003,0
g11-g60-normed,1,0,0,0.005,0.005,0
g11-g61,1,0,0,0.005,0.005,0
g11-g62,1,0,0,0.008,0.008,0
g11-g63,1,0,0,0.023,0.023,0
g11-g64,1,0,0,0.051,0.051,0.004
g11-g65,1,0,0,0.027,0.027,0
g11-g66-normed,1,0,0,0.027,0.027,0
g11-g67,1,0,0,0.013,0.013,0
g11-g68,1,0,0,0.057,0.057,0
g11-g69,1,0,0,0.023,0.023,0
g11-g70,1,0,0,0.017,0.017,0
g11-g71,1,0,0,0.022,0.022,0
g11-g72,1,0,0,0.007,0.007,0
g11-g73-normed,1,0,0,0.029,0.029,0
g11-g74,1,0,0,0.019,0.019,0
g11-g75,1,0,0,0.032,0.032,0.004
g11-g76,1,0,0,0.156,0.156,0.014
g11-g77,1,0,0,0.319,0.319,0.019
g11-g78,1,0,0,0.069,0.069,0
g11-g79,1,0,0,0.042,0.042,0
g11-g80,1,0,0.001,0.021,0.021,0
g11-g81,1,0,0.001,0.204,0.204,0
g11-g82-normed,1,0,0.001,0.207,0.207,0
g11-g83,1,0,0.001,0.162,0.162,0.001
g11-g84,1,0,0.001,0.79,0.79,0.014
g11-g85,1,0,0.001,0.09,0.09,0
g11-g86-normed,1,0,0.001,0.088,0.088,0
g11-g87,1,0,0.001,0.128,0.128,0.002
g11-g88,1,0,0.001,0.141,0.141,0.002
g11-g89,1,0,0.001,0.11,0.11,0
g11-g90,1,0,0.002,0.262,0.262,0.001
g11-g91,1,0,0.002,0.162,0.162,0.006
g11-g92,1,0,0.003,0.227,0.227,0.004
g11-g93-normed,1,0,0.003,5.72,5.72,0.046
g11-g94,1,0,0.004,0.471,0.471,0.002
g11-g95,1,0,0.005,0.149,0.149,0.001
g11-g96,1,0,0.005,0.176,0.176,0.001
g11-g97,1,0,0.005,0.181,0.181,0.002
g11-g98,1,0,0.005,0.266,0.266,0.001
g11-g99,1,0,0.005,0.265,0.265,0.001
g12-g100,1,0,0.005,0.129,0.129,0
g12-g101,1,0,0.006,0.702,0.702,0.001
g12-g102,1,0,0.006,0.825,0.825,0.001
g12-g103,1,0,0.006,1.138,1.138,0.002
g12-g104,1,0,0.014,1.378,1.378,0.002
g12-g105,1,0,0.014,1.4,1.4,0.002
g12-g106,1,0,0.025,4.961,4.961,0.005
g12-g107,1,0,0.025,2.988,2.988,0.005
g12-g108,1,0,0.029,3.589,3.589,0.006
g12-g109,1,0,0.031,4.21,4.21,0.004
g12-g110,1,0,0.036,9.852,9.852,0.019
g12-g111,1,0,0.041,5.716,5.716,0.009
g12-g112,1,0,0.054,5.998,5.998,0.005
g12-g20,1,0,0,0,0,0
g12-g21,1,0,0,0,0,0
g12-g23,1,0,0,0,0,0
g12-g26,1,0,0,0,0,0
g12-g27,1,0,0,0,0,0
g12-g29,1,0,0,0.001,0.001,0
g12-g30,1,0,0,0.001,0.001,0
g12-g31,1,0,0,0.001,0.001,0
g12-g32,1,0,0,0.003,0.003,0
g12-g38,1,0,0,0,0,0
g12-g40,1,0,0,0.003,0.003,0
g12-g43,1,0,0,0.001,0.001,0
g12-g44,1,0,0,0.001,0.001,0
g12-g45,1,0,0,0.001,0.001,0
g12-g46,1,0,0,0.002,0.002,0
g12-g47,1,0,0,0.002,0.002,0
g12-g48,1,0,0,0.002,0.002,0
g12-g50,1,0,0,0.003,0.003,0.001
g12-g51,1,0,0,0.001,0.001,0
g12-g52,1,0,0,0.001,0.001,0
g12-g53,1,0,0,0.002,0.002,0
g12-g54,1,0,0,0.005,0.005,0
g12-g55,1,0,0,0.005,0.005,0
g12-g56,1,0,0,0.005,0.005,0
g12-g57,1,0,0,0.001,0.001,0
g12-g58-normed,1,0,0,0.003,0.003,0
g12-g59-normed,1,0,0,0.003,0.003,0
g12-g60-normed,1,0,0,0.006,0.006,0
g12-g61,1,0,0,0.005,0.005,0
g12-g62,1,0,0,0.008,0.008,0
g12-g63,1,0,0,0.023,0.023,0
g12-g64,1,0,0,0.051,0.051,0.005
g12-g65,1,0,0,0.027,0.027,0
g12-g66-normed,1,0,0,0.027,0.027,0
g12-g67,1,0,0,0.013,0.013,0
g12-g68,1,0,0,0.056,0.056,0.001
g12-g69,1,0,0,0.022,0.022,0
g12-g70,1,0,0,0.017,0.017,0
g12-g71,1,0,0,0.022,0.022,0
g12-g72,1,0,0,0.007,0.007,0
g12-g73-normed,1,0,0,0.029,0.029,0.001
g12-g74,1,0,0,0.019,0.019,0
g12-g75,1,0,0,0.032,0.032,0.004
g12-g76,1,0,0,0.154,0.154,0.016
g12-g77,1,0,0,0.318,0.318,0.019
g12-g78,1,0,0,0.067,0.067,0
g12-g79,1,0,0,0.042,0.042,0
g12-g80,1,0,0.001,0.022,0.022,0
g12-g81,1,0,0.001,0.207,0.207,0.001
g12-g82-normed,1,0,0.001,0.206,0.206,0.001
g12-g83,1,0,0.001,0.163,0.163,0.001
g12-g84,1,0,0.001,0.789,0.789,0.014
g12-g85,1,0,0.001,0.088,0.088,0
g12-g86-normed,1,0,0.001,0.088,0.088,0
g12-g87,1,0,0.001,0.128,0.128,0
g12-g88,1,0,0.001,0.141,0.141,0.001
g12-g89,1,0,0.001,0.11,0.11,0.001
g12-g90,1,0,0.002,0.263,0.263,0
g12-g91,1,0,0.002,0.161,0.161,0
g12-g92,1,0,0.003,0.228,0.228,0.001
g12-g93-normed,1,0,0.003,5.592,5.592,0.048
g12-g94,1,0,0.004,0.468,0.468,0.001
g12-g95,1,0,0.005,0.151,0.151,0
g12-g96,1,0,0.005,0.174,0.174,0.001
g12-g97,1,0,0.005,0.178,0.178,0
g12-g98,1,0,0.005,0.269,0.269,0.001
g12-g99,1,0,0.005,0.267,0.267,0
g13-g100,1,0,0.005,0.126,0.126,0
g13-g101,1,0,0.006,0.701,0.701,0.002
g13-g102,1,0,0.006,0.825,0.825,0.002
g13-g103,1,0,0.006,1.139,1.139,0.002
g13-g104,1,0,0.014,1.395,1.395,0.005
g13-g105,1,0,0.014,1.403,1.403,0.005
g13-g106,1,0,0.025,4.936,4.936,0.008
g13-g107,1,0,0.025,2.991,2.991,0.006
g13-g108,1,0,0.029,3.669,3.669,0.006
g13-g109,1,0,0.031,4.228,4.228,0.005
g13-g110,1,0,0.036,9.916,9.916,0.019
g13-g111,1,0,0.04,5.749,5.749,0.01
g13-g112,1,0,0.054,5.994,5.994,0.085
g13-g15,1,0,0,0,0,0
g13-g20,1,0,0,0,0,0
g13-g21,1,0,0,0,0,0
g13-g23,1,0,0,0,0,0
g13-g25,1,0,0,0,0,0
g13-g26,1,0,0,0,0,0
g13-g27,1,0,0,0,0,0
g13-g29,1,0,0,0.001,0.001,0
g13-g30,1,0,0,0.001,0.001,0
g13-g31,1,0,0,0.001,0.001,0
g13-g32,1,0,0,0.003,0.003,0
g13-g38,1,0,0,0,0,0
g13-g40,1,0,0,0.003,0.003,0
g13-g43,1,0,0,0.001,0.001,0
g13-g44,1,0,0,0.001,0.001,0
g13-g45,1,0,0,0.001,0.001,0
g13-g46,1,0,0,0.001,0.001,0
g13-g47,1,0,0,0.002,0.002,0
g13-g48,1,0,0,0.002,0.002,0
g13-g49,1,0,0,0.001,0.001,0
g13-g50,1,0,0,0.003,0.003,0
g13-g51,1,0,0,0.001,0.001,0
g13-g52,1,0,0,0.001,0.001,0
g13-g53,1,0,0,0.002,0.002,0
g13-g54,1,0,0,0.005,0.005,0
g13-g55,1,0,0,0.005,0.005,0
g13-g56,1,0,0,0.005,0.005,0
g13-g57,1,0,0,0.001,0.001,0
g13-g58-normed,1,0,0,0.003,0.003,0
g13-g59-normed,1,0,0,0.003,0.003,0
g13-g60-normed,1,0,0,0.006,0.006,0
g13-g61,1,0,0,0.005,0.005,0
g13-g62,1,0,0,0.008,0.008,0
g13-g63,1,0,0,0.023,0.023,0
g13-g64,1,0,0,0.051,0.051,0.004
g13-g65,1,0,0,0.027,0.027,0
g13-g66-normed,1,0,0,0.027,0.027,0
g13-g67,1,0,0,0.012,0.012,0
g13-g68,1,0,0,0.057,0.057,0.001
g13-g69,1,0,0,0.023,0.023,0
g13-g70,1,0,0,0.017,0.017,0
g13-g71,1,0,0,0.022,0.022,0
g13-g72,1,0,0,0.007,0.007,0
g13-g73-normed,1,0,0,0.029,0.029,0.001
g13-g74,1,0,0,0.019,0.019,0.001
g13-g75,1,0,0,0.032,0.032,0.004
g13-g76,1,0,0,0.155,0.155,0.014
g13-g77,1,0,0,0.319,0.319,0.019
g13-g78,1,0,0,0.067,0.067,0.001
g13-g79,1,0,0,0.042,0.042,0
g13-g80,1,0,0.001,0.021,0.021,0
g13-g81,1,0,0.001,0.205,0.205,0
g13-g82-normed,1,0,0.001,0.206,0.206,0.001
g13-g83,1,0,0.001,0.164,0.164,0
g13-g84,1,0,0.001,0.772,0.772,0.014
g13-g85,1,0,0.001,0.091,0.091,0
g13-g86-normed,1,0,0.001,0.088,0.088,0
g13-g87,1,0,0.001,0.13,0.13,0.001
g13-g88,1,0,0.001,0.142,0.142,0
g13-g89,1,0,0.001,0.11,0.11,0
g13-g90,1,0,0.002,0.266,0.266,0
g13-g91,1,0,0.002,0.164,0.164,0
g13-g92,1,0,0.003,0.228,0.228,0
g13-g93-normed,1,0,0.003,5.643,5.643,0.047
g13-g94,1,0,0.004,0.469,0.469,0
g13-g95,1,0,0.005,0.15,0.15,0
g13-g96,1,0,0.005,0.175,0.175,0
g13-g97,1,0,0.005,0.181,0.181,0
g13-g98,1,0,0.005,0.267,0.267,0
g13-g99,1,0,0.005,0.269,0.269,0
g14-g100,1,0,0.005,0.129,0.129,0
g14-g101,1,0,0.006,0.702,0.702,0.002
g14-g102,1,0,0.006,0.826,0.826,0.004
g14-g103,1,0,0.006,1.146,1.146,0.004
g14-g104,1,0,0.014,1.405,1.405,0.003
g14-g105,1,0,0.014,1.402,1.402,0.003
g14-g106,1,0,0.025,4.963,4.963,0.007
g14-g107,1,0,0.025,2.997,2.997,0.007
g14-g108,1,0,0.029,3.679,3.679,0.009
g14-g109,1,0,0.031,4.232,4.232,0.004
g14-g110,1,0,0.036,9.871,9.871,0.022
g14-g111,1,0,0.04,5.778,5.778,0.013
g14-g112,1,0,0.054,5.96,5.96,0.089
g14-g15,1,0,0,0,0,0
g14-g20,1,0,0,0,0,0
g14-g21,1,0,0,0,0,0
g14-g23,1,0,0,0,0,0
g14-g25,1,0,0,0,0,0
g14-g26,1,0,0,0,0,0
g14-g27,1,0,0,0,0,0
g14-g29,1,0,0,0.001,0.001,0
g14-g30,1,0,0,0.001,0.001,0
g14-g31,1,0,0,0.001,0.001,0
g14-g32,1,0,0,0.003,0.003,0
g14-g38,1,0,0,0,0,0
g14-g40,1,0,0,0.003,0.003,0
g14-g43,1,0,0,0.001,0.001,0
g14-g44,1,0,0,0.001,0.001,0
g14-g45,1,0,0,0.001,0.001,0
g14-g46,1,0,0,0.002,0.002,0
g14-g47,1,0,0,0.002,0.002,0
g14-g48,1,0,0,0.002,0.002,0
g14-g49,1,0,0,0.001,0.001,0
g14-g50,1,0,0,0.003,0.003,0
g14-g51,1,0,0,0.001,0.001,0
g14-g52,1,0,0,0.001,0.001,0
g14-g53,1,0,0,0.002,0.002,0
g14-g54,1,0,0,0.005,0.005,0
g14-g55,1,0,0,0.005,0.005,0
g14-g56,1,0,0,0.005,0.005,0
g14-g57,1,0,0,0.001,0.001,0
g14-g58-normed,1,0,0,0.003,0.003,0
g14-g59-normed,1,0,0,0.003,0.003,0
g14-g60-normed,1,0,0,0.005,0.005,0
g14-g61,1,0,0,0.005,0.005,0
g14-g62,1,0,0,0.008,0.008,0
g14-g63,1,0,0,0.024,0.024,0
g14-g64,1,0,0,0.05,0.05,0.006
g14-g65,1,0,0,0.027,0.027,0
g14-g66-normed,1,0,0,0.027,0.027,0
g14-g67,1,0,0,0.012,0.012,0
g14-g68,1,0,0,0.059,0.059,0.001
g14-g69,1,0,0,0.023,0.023,0
g14-g70,1,0,0,0.017,0.017,0
g14-g71,1,0,0,0.022,0.022,0
g14-g72,1,0,0,0.007,0.007,0
g14-g73-normed,1,0,0,0.03,0.03,0.002
g14-g74,1,0,0,0.019,0.019,0.001
g14-g75,1,0,0,0.032,0.032,0.004
g14-g76,1,0,0,0.155,0.155,0.015
g14-g77,1,0,0,0.319,0.319,0.018
g14-g78,1,0,0,0.068,0.068,0.001
g14-g79,1,0,0,0.042,0.042,0
g14-g80,1,0,0.001,0.021,0.021,0
g14-g81,1,0,0.001,0.206,0.206,0
g14-g82-normed,1,0,0.001,0.208,0.208,0.001
g14-g83,1,0,0.001,0.162,0.162,0.001
g14-g84,1,0,0.001,0.791,0.791,0.014
g14-g85,1,0,0.001,0.088,0.088,0
g14-g86-normed,1,0,0.001,0.088,0.088,0
g14-g87,1,0,0.001,0.128,0.128,0.001
g14-g88,1,0,0.001,0.141,0.141,0.001
g14-g89,1,0,0.001,0.11,0.11,0
g14-g90,1,0,0.002,0.264,0.264,0.002
g14-g91,1,0,0.002,0.161,0.161,0
g14-g92,1,0,0.003,0.193,0.193,0.001
g14-g93-normed,1,0,0.003,5.657,5.657,0.045
g14-g94,1,0,0.004,0.47,0.47,0.002
g14-g95,1,0,0.005,0.151,0.151,0
g14-g96,1,0,0.005,0.175,0.175,0.001
g14-g97,1,0,0.005,0.18,0.18,0
g14-g98,1,0,0.005,0.266,0.266,0
g14-g99,1,0,0.005,0.27,0.27,0.001
g15-g100,1,0,0.005,0.125,0.125,0
g15-g101,1,0,0.006,0.704,0.704,0.001
g15-g102,1,0,0.006,0.824,0.824,0.003
g15-g103,1,0,0.006,1.136,1.136,0.003
g15-g104,1,0,0.014,1.399,1.399,0.002
g15-g105,1,0,0.014,1.404,1.404,0.003
g15-g106,1,0,0.025,4.903,4.903,0.007
g15-g107,1,0,0.025,2.994,2.994,0.006
g15-g108,1,0,0.029,3.681,3.681,0.008
g15-g109,1,0,0.031,4.14,4.14,0.005
g15-g110,1,0,0.036,9.883,9.883,0.021
g15-g111,1,0,0.04,5.778,5.778,0.009
g15-g112,1,0,0.054,5.924,5.924,0.082
g15-g20,1,0,0,0,0,0
g15-g21,1,0,0,0,0,0
g15-g23,1,0,0,0,0,0
g15-g25,1,0,0,0,0,0
g15-g26,1,0,0,0,0,0
g15-g27,1,0,0,0,0,0
g15-g29,1,0,0,0.001,0.001,0
g15-g30,1,0,0,0.001,0.001,0
g15-g31,1,0,0,0.001,0.001,0
g15-g32,1,0,0,0.003,0.003,0
g15-g38,1,0,0,0,0,0
g15-g40,1,0,0,0.003,0.003,0
g15-g43,1,0,0,0.001,0.001,0
g15-g44,1,0,0,0.001,0.001,0
g15-g45,1,0,0,0.001,0.001,0
g15-g46,1,0,0,0.001,0.001,0
g15-g47,1,0,0,0.002,0.002,0
g15-g48,1,0,0,0.002,0.002,0
g15-g49,1,0,0,0.001,0.001,0
g15-g50,1,0,0,0.003,0.003,0
g15-g51,1,0,0,0.001,0.001,0
g15-g52,1,0,0,0.001,0.001,0
g15-g53,1,0,0,0.002,0.002,0
g15-g54,1,0,0,0.005,0.005,0
g15-g55,1,0,0,0.005,0.005,0
g15-g56,1,0,0,0.005,0.005,0
g15-g57,1,0,0,0.001,0.001,0
g15-g58-normed,1,0,0,0.003,0.003,0
g15-g59-normed,1,0,0,0.003,0.003,0
g15-g60-normed,1,0,0,0.006,0.006,0
g15-g61,1,0,0,0.005,0.005,0
g15-g62,1,0,0,0.008,0.008,0
g15-g63,1,0,0,0.023,0.023,0
g15-g64,1,0,0,0.05,0.05,0.005
g15-g65,1,0,0,0.027,0.027,0
g15-g66-normed,1,0,0,0.027,0.027,0
g15-g67,1,0,0,0.013,0.013,0
g15-g68,1,0,0,0.057,0.057,0.001
g15-g69,1,0,0,0.023,0.023,0
g15-g70,1,0,0,0.017,0.017,0
g15-g71,1,0,0,0.022,0.022,0
g15-g72,1,0,0,0.008,0.008,0
g15-g73-normed,1,0,0,0.029,0.029,0.001
g15-g74,1,0,0,0.019,0.019,0.001
g15-g75,1,0,0,0.031,0.031,0.004
g15-g76,1,0,0,0.155,0.155,0.017
g15-g77,1,0,0,0.318,0.318,0.018
g15-g78,1,0,0,0.067,0.067,0
g15-g79,1,0,0,0.041,0.041,0
g15-g80,1,0,0.001,0.021,0.021,0
g15-g81,1,0,0.001,0.206,0.206,0.001
g15-g82-normed,1,0,0.001,0.208,0.208,0
