instance,family,lad-values-removed,lad-values-removed-percent,lad-values-removed-min,lad-values-removed-max,lad-time,lad-detected-inconsistent
A.17,1,16063,44.619444,0.000000,98.000000,0,false
B.15,1,150301,46.389198,0.000000,99.500000,4,false
E.03,1,0,100,0,0,4,true
F.19,1,54317,67.058025,6.333333,99.666664,13,false
A.12,1,16985,47.180556,0.000000,98.500000,0,false
B.08,1,154545,47.699074,0.000000,99.000000,3,false
F.17,1,52799,65.183951,12.000000,99.666664,14,false
C.04,1,415280,46.142222,0.000000,99.300003,11,false
B.19,1,154627,47.724383,0.000000,99.666664,4,false
C.16,1,433685,48.187222,0.000000,99.699997,10,false
C.17,1,414281,46.031222,0.000000,99.199997,9,false
E.08,1,0,100,0,0,6,true
F.13,1,43482,53.681481,2.000000,98.666664,12,false
A.20,1,18024,50.066667,0.000000,98.500000,0,false
E.02,1,0,100,0,0,2,true
E.16,1,0,100,0,0,2,true
B.12,1,138130,42.632716,0.000000,99.500000,3,false
F.09,1,47830,59.049383,1.333333,99.666664,15,false
A.10,1,15995,44.430556,0.000000,98.500000,0,false
F.18,1,53118,65.577778,6.333333,99.666664,13,false
E.10,1,57780,71.333333,9.666667,99.666664,13,false
A.06,1,14868,41.300000,0.000000,91.000000,0,false
E.15,1,0,100,0,0,8,true
E.07,1,0,100,0,0,2,true
E.11,1,0,100,0,0,4,true
B.03,1,144572,44.620988,0.000000,98.666664,4,false
B.18,1,155417,47.968210,0.000000,99.333336,4,false
C.03,1,422806,46.978444,0.000000,99.599998,11,false
A.18,1,16103,44.730556,0.000000,95.000000,0,false
F.15,1,56665,69.956790,15.000000,99.666664,12,false
A.19,1,14945,41.513889,0.000000,98.500000,0,false
C.12,1,424608,47.178667,0.000000,99.599998,10,false
B.05,1,155511,47.997222,0.000000,99.333336,4,false
A.13,1,16739,46.497222,0.000000,99.000000,0,false
A.05,1,16816,46.711111,0.000000,98.000000,0,false
F.01,1,58095,71.722222,12.333333,99.666664,13,false
E.20,1,0,100,0,0,2,true
B.13,1,158268,48.848148,0.000000,99.500000,3,false
A.14,1,14774,41.038889,0.000000,95.500000,0,false
B.04,1,134828,41.613580,0.000000,99.833336,4,false
C.13,1,400352,44.483556,0.000000,98.199997,10,false
F.07,1,53867,66.502469,1.666667,99.666664,13,false
E.13,1,0,100,0,0,3,true
E.14,1,0,100,0,0,11,true
A.11,1,17331,48.141667,0.000000,99.500000,0,false
si6_r005_m400.07,7,1280,1.333333,0.000000,17.250000,8,false
si6_r005_m400.00,7,1253,1.305208,0.000000,24.250000,8,false
si6_r005_m400.01,7,1351,1.407292,0.000000,40.750000,8,false
si6_r005_m400.02,7,1701,1.771875,0.000000,30.250000,7,false
si6_r005_m400.04,7,903,0.940625,0.000000,57.000000,9,false
si6_r005_m400.05,7,809,0.842708,0.000000,29.000000,9,false
si6_r005_m400.09,7,1994,2.077083,0.000000,45.750000,7,false
si6_r005_m400.03,7,1098,1.143750,0.000000,40.750000,8,false
si6_r005_m400.06,7,1744,1.816667,0.000000,33.250000,8,false
si6_r005_m400.08,7,1498,1.560417,0.000000,29.000000,9,false
si6_m4Dr6_m625.04,6,111087,47.397120,0.160000,99.839996,3,false
si6_m4Dr6_m625.01,6,132298,56.447147,1.280000,99.839996,2,false
si6_m4Dr6_m625.09,6,106928,45.622613,0.160000,99.839996,3,false
si6_m4Dr6_m625.07,6,120068,51.229013,0.320000,99.839996,4,false
si6_m4Dr6_m625.00,6,113464,48.411307,0.480000,99.839996,4,false
si6_m4Dr6_m625.08,6,98331,41.954560,0.000000,99.519997,3,false
si6_m4Dr6_m625.05,6,124349,53.055573,0.000000,99.519997,3,false
si6_m4Dr6_m625.06,6,130038,55.482880,0.640000,99.839996,3,false
si6_m4Dr6_m625.02,6,108349,46.228907,0.320000,99.839996,3,false
si6_m4Dr6_m625.03,6,130217,55.559253,1.120000,99.839996,3,false
si4_m4Dr2_m625.09,6,63946,40.925440,0.160000,99.839996,2,false
si4_m4Dr2_m625.04,6,60938,39.000320,0.000000,98.080002,1,false
si4_m4Dr2_m625.02,6,80448,51.486720,0.160000,99.839996,2,false
si4_m4Dr2_m625.07,6,91032,58.260480,0.160000,99.839996,2,false
si4_m4Dr2_m625.00,6,80622,51.598080,0.000000,99.519997,2,false
si4_m4Dr2_m625.08,6,73006,46.723840,0.160000,99.839996,2,false
si4_m4Dr2_m625.01,6,76933,49.237120,0.160000,99.839996,1,false
si4_m4Dr2_m625.06,6,83716,53.578240,0.960000,99.519997,1,false
si4_m4Dr2_m625.03,6,57292,36.666880,0.000000,98.080002,2,false
si4_m4Dr2_m625.05,6,67804,43.394560,0.000000,99.839996,2,false
si2_r001_m600.00,7,374,0.519444,0.000000,14.666667,2,false
si2_r001_m600.06,7,449,0.623611,0.000000,22.666666,2,false
si2_r001_m600.04,7,385,0.534722,0.000000,14.333333,2,false
si2_r001_m600.07,7,642,0.891667,0.000000,32.500000,2,false
si2_r001_m600.02,7,581,0.806944,0.000000,15.666667,2,false
si2_r001_m600.08,7,439,0.609722,0.000000,25.166666,3,false
si2_r001_m600.03,7,373,0.518056,0.000000,8.666667,3,false
si2_r001_m600.01,7,612,0.850000,0.000000,23.833334,2,false
si2_r001_m600.05,7,597,0.829167,0.000000,15.666667,3,false
si2_r001_m600.09,7,214,0.297222,0.000000,7.833333,2,false
si2_m4Dr2_m256.09,6,2444,18.719363,0.000000,75.781250,0,false
si2_m4Dr2_m256.03,6,3040,23.284314,0.000000,75.000000,0,false
si2_m4Dr2_m256.04,6,2819,21.591605,0.000000,60.546875,0,false
si2_m4Dr2_m256.07,6,5966,45.695466,0.000000,99.218750,0,false
si2_m4Dr2_m256.00,6,3581,27.428002,0.000000,92.578125,0,false
si2_m4Dr2_m256.06,6,2561,19.615502,0.000000,73.437500,0,false
si2_m4Dr2_m256.08,6,6677,51.141238,0.390625,99.218750,0,false
si2_m4Dr2_m256.05,6,7533,57.697610,0.000000,98.046875,0,false
si2_m4Dr2_m256.01,6,3615,27.688419,0.000000,92.187500,0,false
si2_m4Dr2_m256.02,6,6428,49.234069,0.000000,92.187500,0,false
si6_r001_m600.09,7,25729,11.911574,0.000000,90.333336,6,false
si6_r001_m600.00,7,23926,11.076852,0.000000,77.166664,6,false
si6_r001_m600.07,7,25439,11.777315,0.000000,83.666664,7,false
si6_r001_m600.03,7,26956,12.479630,0.000000,77.166664,7,false
si6_r001_m600.01,7,25254,11.691667,0.000000,84.833336,6,false
si6_r001_m600.06,7,30468,14.105556,0.000000,97.166664,6,false
si6_r001_m600.08,7,26517,12.276389,0.000000,92.833336,6,false
si6_r001_m600.02,7,24367,11.281019,0.000000,76.666664,6,false
si6_r001_m600.04,7,24839,11.499537,0.000000,65.333336,6,false
si6_r001_m600.05,7,26509,12.272685,0.000000,85.000000,6,false
si2_m4Dr2_m1296.05,6,149658,44.585657,0.000000,99.382713,5,false
si2_m4Dr2_m1296.09,6,152187,45.339089,0.000000,99.537041,5,false
si2_m4Dr2_m1296.02,6,111287,33.154285,0.000000,97.916664,6,false
si2_m4Dr2_m1296.07,6,153277,45.663819,0.077160,99.922836,4,false
si2_m4Dr2_m1296.00,6,174340,51.938844,0.308642,99.922836,4,false
si2_m4Dr2_m1296.06,6,122144,36.388770,0.000000,96.296295,5,false
si2_m4Dr2_m1296.08,6,121510,36.199890,0.000000,99.768517,6,false
si2_m4Dr2_m1296.01,6,98954,29.480075,0.540123,88.734566,5,false
si2_m4Dr2_m1296.03,6,155804,46.416655,0.000000,98.919754,4,false
si2_m4Dr2_m1296.04,6,191132,56.941465,0.077160,99.922836,5,false
si4_b06m_m800.08,4,120806,47.189844,0.625000,99.875000,5,false
si4_b06m_m800.00,4,130369,50.925391,0.750000,99.875000,7,false
si4_b06m_m800.06,4,146523,57.235547,0.125000,99.875000,6,false
si4_b06m_m800.05,4,142474,55.653906,0.375000,99.875000,6,false
si4_b06m_m800.04,4,138980,54.289062,0.375000,99.875000,5,false
si4_b06m_m800.09,4,145628,56.885937,0.625000,99.875000,7,false
si4_b06m_m800.01,4,117230,45.792969,0.125000,99.875000,5,false
si4_b06m_m800.07,4,123143,48.102734,0.375000,99.875000,5,false
si4_b06m_m800.03,4,104322,40.750781,0.500000,99.875000,6,false
si4_b06m_m800.02,4,108278,42.296094,0.375000,99.875000,8,false
si6_m4Dr2_m625.08,6,112355,47.938133,0.000000,99.360001,3,false
si6_m4Dr2_m625.09,6,98821,42.163627,0.000000,99.680000,3,false
si6_m4Dr2_m625.05,6,100650,42.944000,0.000000,98.879997,4,false
si6_m4Dr2_m625.01,6,147983,63.139413,0.640000,99.839996,3,false
si6_m4Dr2_m625.06,6,127038,54.202880,0.320000,99.839996,3,false
si6_m4Dr2_m625.00,6,118560,50.585600,0.480000,99.839996,2,false
si6_m4Dr2_m625.03,6,125747,53.652053,0.960000,99.839996,3,false
si6_m4Dr2_m625.02,6,105229,44.897707,0.000000,98.400002,3,false
si6_m4Dr2_m625.07,6,122970,52.467200,0.640000,99.839996,3,false
si6_m4Dr2_m625.04,6,110448,47.124480,0.000000,98.559998,4,false
si2_m4D_m1296.01,5,84896,25.291959,0.000000,74.382713,4,false
si2_m4D_m1296.08,5,247944,73.866724,14.506173,99.691360,3,false
si2_m4D_m1296.06,5,84896,25.291959,0.000000,74.382713,4,false
si2_m4D_m1296.05,5,239076,71.224796,1.851852,98.456787,3,false
si2_m4D_m1296.09,5,223844,66.686925,1.851852,98.456787,3,false
si2_m4D_m1296.03,5,84896,25.291959,0.000000,74.382713,4,false
si2_m4D_m1296.07,5,233416,69.538586,2.469136,98.456787,3,false
si2_m4D_m1296.02,5,206360,61.478145,1.851852,96.913582,5,false
si2_m4D_m1296.04,5,223236,66.505792,1.851852,96.913582,4,false
si2_m4D_m1296.00,5,257296,76.652843,16.049383,99.691360,4,false
si4_b03_m800.05,3,0,0,0,0,0,false
si4_b03_m800.00,3,0,0,0,0,0,false
si4_b03_m800.08,3,0,0,0,0,0,false
si4_b03_m800.09,3,0,0,0,0,0,false
si4_b03_m800.03,3,0,0,0,0,0,false
si4_b03_m800.02,3,0,0,0,0,0,false
si4_b03_m800.04,3,0,0,0,0,0,false
si4_b03_m800.01,3,0,0,0,0,0,false
si4_b03_m800.06,3,0,0,0,0,0,false
si4_b03_m800.07,3,0,0,0,0,0,false
si6_m4D_m1296.02,5,592048,58.793714,0.000000,99.691360,13,false
si6_m4D_m1296.07,5,266136,26.428810,0.000000,96.296295,14,false
si6_m4D_m1296.05,5,590960,58.685670,0.000000,99.691360,10,false
si6_m4D_m1296.09,5,306196,30.406994,0.000000,96.296295,13,false
si6_m4D_m1296.00,5,299372,29.729333,0.000000,96.296295,12,false
si6_m4D_m1296.08,5,590260,58.616156,0.000000,99.691360,11,false
si6_m4D_m1296.04,5,588392,58.430653,0.000000,99.691360,11,false
si6_m4D_m1296.06,5,257080,25.529498,0.000000,96.296295,13,false
si6_m4D_m1296.01,5,274544,27.263772,0.000000,96.296295,13,false
si6_m4D_m1296.03,5,255532,25.375773,0.000000,96.296295,13,false
si6_r001_m200.05,7,7607,31.695833,0.000000,92.000000,0,false
si6_r001_m200.09,7,7676,31.983333,0.000000,88.500000,0,false
si6_r001_m200.07,7,12724,53.016667,2.500000,99.500000,0,false
si6_r001_m200.02,7,9213,38.387500,0.000000,91.500000,0,false
si6_r001_m200.01,7,9689,40.370833,0.000000,97.500000,0,false
si6_r001_m200.00,7,11777,49.070833,0.000000,97.500000,0,false
si6_r001_m200.04,7,8830,36.791667,0.000000,93.500000,0,false
si6_r001_m200.06,7,10500,43.750000,0.000000,98.500000,0,false
si6_r001_m200.08,7,10495,43.729167,0.000000,98.000000,0,false
si6_r001_m200.03,7,8473,35.304167,0.000000,96.500000,0,false
si4_b06_m400.06,3,0,0,0,0,0,false
si4_b06_m400.07,3,0,0,0,0,0,false
si4_b06_m400.09,3,0,0,0,0,0,false
si4_b06_m400.01,3,0,0,0,0,0,false
si4_b06_m400.04,3,0,0,0,0,0,false
si4_b06_m400.03,3,0,0,0,0,0,false
si4_b06_m400.00,3,0,0,0,0,0,false
si4_b06_m400.05,3,0,0,0,0,0,false
si4_b06_m400.08,3,0,0,0,0,0,false
si4_b06_m400.02,3,0,0,0,0,0,false
si2_m4Dr6_m256.06,6,4324,33.118873,0.000000,91.406250,0,false
si2_m4Dr6_m256.05,6,3733,28.592218,0.000000,98.828125,0,false
si2_m4Dr6_m256.09,6,1936,14.828431,0.390625,75.781250,0,false
si2_m4Dr6_m256.00,6,3996,30.606618,1.171875,89.453125,0,false
si2_m4Dr6_m256.07,6,3163,24.226409,0.000000,95.703125,0,false
si2_m4Dr6_m256.04,6,4492,34.405637,1.562500,96.875000,0,false
si2_m4Dr6_m256.02,6,3012,23.069853,0.000000,91.796875,0,false
si2_m4Dr6_m256.01,6,3190,24.433211,0.000000,91.796875,0,false
si2_m4Dr6_m256.08,6,3269,25.038297,0.781250,89.843750,0,false
si2_m4Dr6_m256.03,6,4123,31.579350,0.000000,92.578125,0,false
si6_r01_m200.04,7,262,1.091667,0.000000,29.500000,2,false
si6_r01_m200.08,7,341,1.420833,0.000000,28.500000,2,false
si6_r01_m200.02,7,209,0.870833,0.000000,13.000000,2,false
si6_r01_m200.09,7,207,0.862500,0.000000,20.500000,2,false
si6_r01_m200.07,7,199,0.829167,0.000000,20.500000,2,false
si6_r01_m200.00,7,219,0.912500,0.000000,6.500000,2,false
si6_r01_m200.01,7,182,0.758333,0.000000,28.500000,2,false
si6_r01_m200.03,7,149,0.620833,0.000000,17.000000,1,false
si6_r01_m200.05,7,189,0.787500,0.000000,15.500000,2,false
si6_r01_m200.06,7,224,0.933333,0.000000,12.500000,2,false
si2_b03m_m800.03,4,78705,61.488281,0.875000,99.875000,2,false
si2_b03m_m800.02,4,76855,60.042969,0.375000,99.875000,2,false
si2_b03m_m800.09,4,57244,44.721875,0.750000,99.875000,2,false
si2_b03m_m800.04,4,61855,48.324219,0.375000,99.875000,2,false
si2_b03m_m800.06,4,78792,61.556250,0.125000,99.875000,1,false
si2_b03m_m800.05,4,70148,54.803125,0.500000,99.875000,2,false
si2_b03m_m800.01,4,64244,50.190625,0.625000,99.875000,2,false
si2_b03m_m800.08,4,64453,50.353906,0.500000,99.875000,2,false
si2_b03m_m800.07,4,62874,49.120312,0.875000,99.875000,2,false
si2_b03m_m800.00,4,73818,57.670313,0.000000,99.750000,1,false
si2_r001_m200.06,7,1214,15.175000,0.000000,54.500000,0,false
si2_r001_m200.01,7,1536,19.200000,0.000000,81.000000,0,false
si2_r001_m200.02,7,1789,22.362500,0.000000,90.000000,0,false
si2_r001_m200.07,7,2299,28.737500,0.000000,93.500000,0,false
si2_r001_m200.04,7,1673,20.912500,0.000000,93.000000,0,false
si2_r001_m200.05,7,782,9.775000,0.000000,55.000000,0,false
si2_r001_m200.09,7,1332,16.650000,0.000000,85.000000,0,false
si2_r001_m200.03,7,1315,16.437500,0.000000,70.500000,0,false
si2_r001_m200.00,7,732,9.150000,0.000000,56.500000,0,false
si2_r001_m200.08,7,1151,14.387500,0.000000,73.500000,0,false
si6_b03m_m800.01,4,198861,51.786719,1.250000,99.875000,8,false
si6_b03m_m800.08,4,206682,53.823437,1.375000,99.875000,6,false
si6_b03m_m800.03,4,202217,52.660677,1.250000,99.875000,7,false
si6_b03m_m800.00,4,205505,53.516927,0.750000,99.875000,7,false
si6_b03m_m800.04,4,212462,55.328646,1.875000,99.875000,8,false
si6_b03m_m800.05,4,205361,53.479427,2.125000,99.875000,7,false
si6_b03m_m800.07,4,213762,55.667187,1.375000,99.875000,7,false
si6_b03m_m800.06,4,206738,53.838021,0.625000,99.875000,8,false
si6_b03m_m800.09,4,217750,56.705729,0.375000,99.875000,8,false
si6_b03m_m800.02,4,215329,56.075260,0.750000,99.875000,7,false
si4_r005_m200.00,7,93,0.581250,0.000000,8.500000,0,false
si4_r005_m200.08,7,119,0.743750,0.000000,9.500000,0,false
si4_r005_m200.02,7,154,0.962500,0.000000,8.500000,0,false
si4_r005_m200.05,7,167,1.043750,0.000000,19.000000,0,false
si4_r005_m200.06,7,153,0.956250,0.000000,24.500000,0,false
si4_r005_m200.04,7,78,0.487500,0.000000,11.500000,0,false
si4_r005_m200.07,7,40,0.250000,0.000000,11.500000,0,false
si4_r005_m200.09,7,107,0.668750,0.000000,14.500000,0,false
si4_r005_m200.01,7,41,0.256250,0.000000,5.500000,1,false
si4_r005_m200.03,7,43,0.268750,0.000000,7.000000,0,false
si6_b09m_m400.03,4,47013,48.971875,0.750000,99.750000,1,false
si6_b09m_m400.07,4,45400,47.291667,1.000000,99.750000,2,false
si6_b09m_m400.00,4,40542,42.231250,0.250000,99.750000,2,false
si6_b09m_m400.04,4,39730,41.385417,1.250000,99.750000,2,false
si6_b09m_m400.06,4,43365,45.171875,1.500000,99.750000,2,false
si6_b09m_m400.08,4,51767,53.923958,0.000000,99.250000,1,false
si6_b09m_m400.02,4,41468,43.195833,1.250000,99.750000,2,false
si6_b09m_m400.05,4,45856,47.766667,0.250000,99.750000,1,false
si6_b09m_m400.09,4,45123,47.003125,1.000000,99.750000,2,false
si6_b09m_m400.01,4,43917,45.746875,0.750000,99.750000,2,false
si2_b09_m200.08,3,0,0,0,0,0,false
si2_b09_m200.01,3,0,0,0,0,0,false
si2_b09_m200.06,3,0,0,0,0,0,false
si2_b09_m200.05,3,0,0,0,0,0,false
si2_b09_m200.00,3,0,0,0,0,0,false
si2_b09_m200.02,3,0,0,0,0,0,false
si2_b09_m200.03,3,0,0,0,0,0,false
si2_b09_m200.04,3,0,0,0,0,0,false
si2_b09_m200.09,3,0,0,0,0,0,false
si2_b09_m200.07,3,0,0,0,0,0,false
si6_r01_m600.02,7,7,0.003241,0.000000,0.500000,44,false
si6_r01_m600.06,7,25,0.011574,0.000000,3.833333,42,false
si6_r01_m600.09,7,27,0.012500,0.000000,1.500000,43,false
si6_r01_m600.08,7,2,0.000926,0.000000,0.333333,42,false
si6_r01_m600.05,7,18,0.008333,0.000000,0.500000,46,false
si6_r01_m600.07,7,0,0,0,0,11,false
si6_r01_m600.03,7,0,0,0,0,10,false
si6_r01_m600.00,7,13,0.006019,0.000000,1.500000,44,false
si6_r01_m600.01,7,38,0.017593,0.000000,3.166667,44,false
si6_r01_m600.04,7,18,0.008333,0.000000,0.500000,44,false
si2_b06_m200.02,3,0,0,0,0,0,false
si2_b06_m200.00,3,0,0,0,0,0,false
si2_b06_m200.01,3,0,0,0,0,0,false
si2_b06_m200.06,3,0,0,0,0,0,false
si2_b06_m200.09,3,0,0,0,0,0,false
si2_b06_m200.07,3,0,0,0,0,0,false
si2_b06_m200.04,3,0,0,0,0,0,false
si2_b06_m200.08,3,0,0,0,0,0,false
si2_b06_m200.03,3,0,0,0,0,0,false
si2_b06_m200.05,3,0,0,0,0,0,false
si6_m4Dr2_m1296.05,6,561658,55.775815,0.077160,99.922836,13,false
si6_m4Dr2_m1296.09,6,520889,51.727223,0.000000,99.845680,13,false
si6_m4Dr2_m1296.01,6,557823,55.394978,0.617284,99.922836,14,false
si6_m4Dr2_m1296.06,6,428760,42.578293,0.231481,99.922836,15,false
si6_m4Dr2_m1296.07,6,460459,45.726183,0.000000,99.768517,15,false
si6_m4Dr2_m1296.03,6,536945,53.321675,0.000000,99.845680,14,false
si6_m4Dr2_m1296.04,6,575894,57.189531,0.385802,99.922836,13,false
si6_m4Dr2_m1296.00,6,469774,46.651215,0.154321,99.922836,16,false
si6_m4Dr2_m1296.08,6,538920,53.517804,0.000000,99.768517,13,false
si6_m4Dr2_m1296.02,6,576685,57.268082,0.308642,99.922836,15,false
si2_b09m_m800.09,4,31604,24.690625,0.000000,99.750000,5,false
si2_b09m_m800.07,4,40717,31.810156,0.000000,99.750000,3,false
si2_b09m_m800.00,4,36563,28.564844,0.000000,99.500000,3,false
si2_b09m_m800.04,4,52276,40.840625,0.250000,99.875000,5,false
si2_b09m_m800.02,4,39737,31.044531,0.000000,99.750000,4,false
si2_b09m_m800.05,4,50149,39.178906,0.125000,99.875000,3,false
si2_b09m_m800.03,4,24504,19.143750,0.000000,99.125000,3,false
si2_b09m_m800.08,4,53252,41.603125,0.250000,99.875000,3,false
si2_b09m_m800.06,4,26178,20.451563,0.000000,98.625000,3,false
si2_b09m_m800.01,4,25423,19.861719,0.000000,99.500000,4,false
si4_b03_m400.01,3,0,0,0,0,0,false
si4_b03_m400.02,3,0,0,0,0,0,false
si4_b03_m400.05,3,0,0,0,0,0,false
si4_b03_m400.07,3,0,0,0,0,0,false
si4_b03_m400.06,3,0,0,0,0,0,false
si4_b03_m400.00,3,0,0,0,0,0,false
si4_b03_m400.03,3,0,0,0,0,0,false
si4_b03_m400.04,3,0,0,0,0,0,false
si4_b03_m400.09,3,0,0,0,0,0,false
si4_b03_m400.08,3,0,0,0,0,0,false
si2_b03_m200.05,3,0,0,0,0,0,false
si2_b03_m200.09,3,0,0,0,0,0,false
si2_b03_m200.07,3,0,0,0,0,0,false
si2_b03_m200.01,3,0,0,0,0,0,false
si2_b03_m200.08,3,0,0,0,0,0,false
si2_b03_m200.02,3,0,0,0,0,0,false
si2_b03_m200.04,3,0,0,0,0,0,false
si2_b03_m200.03,3,0,0,0,0,0,false
si2_b03_m200.06,3,0,0,0,0,0,false
si2_b03_m200.00,3,0,0,0,0,0,false
si4_r005_m600.00,7,3,0.002083,0.000000,0.166667,18,false
si4_r005_m600.02,7,3,0.002083,0.000000,0.166667,17,false
si4_r005_m600.08,7,6,0.004167,0.000000,0.166667,18,false
si4_r005_m600.05,7,0,0,0,0,4,false
si4_r005_m600.07,7,0,0,0,0,3,false
si4_r005_m600.06,7,0,0,0,0,4,false
si4_r005_m600.01,7,2,0.001389,0.000000,0.333333,18,false
si4_r005_m600.04,7,1,0.000694,0.000000,0.166667,18,false
si4_r005_m600.03,7,2,0.001389,0.000000,0.166667,16,false
si4_r005_m600.09,7,0,0,0,0,5,false
si4_b09_m400.05,3,0,0,0,0,0,false
si4_b09_m400.03,3,0,0,0,0,0,false
si4_b09_m400.00,3,0,0,0,0,0,false
si4_b09_m400.07,3,0,0,0,0,0,false
si4_b09_m400.01,3,0,0,0,0,0,false
si4_b09_m400.06,3,0,0,0,0,0,false
si4_b09_m400.04,3,0,0,0,0,0,false
si4_b09_m400.02,3,0,0,0,0,0,false
si4_b09_m400.08,3,0,0,0,0,0,false
si4_b09_m400.09,3,0,0,0,0,0,false
si4_b06m_m400.06,4,32750,51.171875,1.750000,99.750000,0,false
si4_b06m_m400.03,4,37737,58.964062,0.500000,99.750000,1,false
si4_b06m_m400.01,4,25707,40.167187,0.250000,99.750000,1,false
si4_b06m_m400.08,4,30375,47.460938,0.500000,99.750000,1,false
si4_b06m_m400.05,4,27511,42.985937,0.750000,99.750000,1,false
si4_b06m_m400.07,4,25397,39.682812,0.000000,99.500000,0,false
si4_b06m_m400.00,4,29223,45.660938,0.750000,99.750000,1,false
si4_b06m_m400.04,4,28808,45.012500,0.250000,99.750000,1,false
si4_b06m_m400.09,4,27444,42.881250,1.000000,99.750000,0,false
si4_b06m_m400.02,4,32570,50.890625,1.500000,99.750000,1,false
si2_m4Dr2_m625.05,6,41591,53.236480,0.640000,98.879997,0,false
si2_m4Dr2_m625.00,6,28174,36.062720,0.000000,97.919998,0,false
si2_m4Dr2_m625.08,6,50772,64.988160,0.960000,99.839996,1,false
si2_m4Dr2_m625.09,6,38210,48.908800,0.000000,98.239998,0,false
si2_m4Dr2_m625.06,6,28997,37.116160,0.480000,98.239998,1,false
si2_m4Dr2_m625.04,6,25176,32.225280,0.000000,95.519997,0,false
si2_m4Dr2_m625.01,6,38649,49.470720,0.320000,97.599998,1,false
si2_m4Dr2_m625.03,6,33751,43.201280,0.000000,97.919998,0,false
si2_m4Dr2_m625.02,6,32854,42.053120,0.640000,98.879997,0,false
si2_m4Dr2_m625.07,6,25566,32.724480,0.000000,99.360001,1,false
si2_r005_m200.02,7,0,0,0,0,0,false
si2_r005_m200.01,7,0,0,0,0,0,false
si2_r005_m200.03,7,0,0,0,0,0,false
si2_r005_m200.05,7,0,0,0,0,0,false
si2_r005_m200.08,7,0,0,0,0,0,false
si2_r005_m200.04,7,2,0.025000,0.000000,0.500000,0,false
si2_r005_m200.09,7,0,0,0,0,0,false
si2_r005_m200.06,7,0,0,0,0,0,false
si2_r005_m200.00,7,0,0,0,0,0,false
si2_r005_m200.07,7,0,0,0,0,0,false
si4_b03m_m400.03,4,39134,61.146875,1.500000,99.750000,0,false
si4_b03m_m400.09,4,36290,56.703125,1.250000,99.750000,0,false
si4_b03m_m400.08,4,36526,57.071875,1.250000,99.750000,0,false
si4_b03m_m400.04,4,32719,51.123438,0.500000,99.750000,0,false
si4_b03m_m400.00,4,35169,54.951563,0.250000,99.750000,0,false
